Name,UrlRV,URLYeti,Total Customs Clearances,Total Shipments,Customs Broker,Trade Data, Port Type
"Dynasol Elastomers","",,,"","", ""
"UCT","https://app.revenuevessel.com/dashboard/importers/3a17c317-6cbc-42a3-b8b7-8de0d2394c82",8,,"ARIES GLOBAL LOGISTICS, INC.-4, UPS SUPPLY CHAIN SOLUTION-3, DHL EXPRESS (USA) INC.-1","", "Air-4, Parcel-4"
"Precision Laboratories","https://app.revenuevessel.com/dashboard/importers/c79b2691-5b00-4124-9f64-b1632a77a404",13,60,"DELMAR INTERNATIONAL (N.Y.) INC.-13","Italy-56, Colombia-2, Brazil-2", "Ambiguous-13"
"Adhesive Applications","https://app.revenuevessel.com/dashboard/importers/9fc7da1a-dad8-4ba9-9d81-b90541439955",7,,"A N DERINGER, INC.-6, R L SWEARER COMPANY, INC-1","", "Cross Border-6, Ocean-1"
"FutureFuel Chemical","",,,"","", ""
"Brainerd Chemical Co.","",,,"","", ""
"The ChemQuest Group","",,,"","", ""
"SMC Global, a Special Materials","https://app.revenuevessel.com/dashboard/importers/1deeb440-3c1f-4ce5-876d-4cb604a29caf",891,,"C.H. ROBINSON INTERNATIONAL, INC.-743, MAERSK CUSTOMS SERVICES USA INC.-148","", "Ocean-755, Ambiguous-77, Rail-43, Air-15, Cross Border-1"
"FSI","https://app.revenuevessel.com/dashboard/importers/dcc94800-7a73-4a76-b95b-982b13f2e95b",8,25,"UPS SUPPLY CHAIN SOLUTION-8","South Korea-18, Italy-5, Germany-2", "Rail-8"
"ChromaScape","https://app.revenuevessel.com/dashboard/importers/a54072f3-a39f-47dd-85d4-b1044f37825a",232,,"WORLDWIDE LOGISTICS CHB LLC-232","", "Cross Border-128, Ocean-69, Rail-28, Ambiguous-3, Air-3, Parcel-1"
"Borchers: A Milliken Brand","https://app.revenuevessel.com/dashboard/importers/4c82ee2b-0884-4eff-8e07-18ad9871d044",58,,"GHY USA-21, MIDWEST TRANSATLANTIC LINES LLC-19, KUEHNE & NAGEL INC-18","", "Rail-25, Ocean-22, Ambiguous-6, Air-4, Cross Border-1"
"ChemGroup","",,,"","", ""
"Tedia","https://app.revenuevessel.com/dashboard/importers/8c9a0a3d-777a-4283-99d4-0552302a634f",23,46,"MASTERPIECE INTERNATIONAL LIMITED,-17, TEAM CUSTOMS BROKERAGE INC-6","South Korea-18, India-18, Germany-13", "Air-14, Ambiguous-5, Ocean-4"
"U.S. Zinc","https://app.revenuevessel.com/dashboard/importers/8481053b-00b0-44e4-b2e6-1c3b8816a4c6",311,1464,"CLEARFREIGHT, INC.-280, JANEL GROUP, INC.-31","Belgium-1410, Germany-30, Bahamas-16", "Ocean-174, Cross Border-136, Rail-1"
"Birko, A Diversey","https://app.revenuevessel.com/dashboard/importers/2dc8aa0d-875b-4e85-8958-dd15d3208ba2",,6,"","China-6", ""
"Younger Chemists Committee","",,,"","", ""
"Jet-Lube","",,,"","", ""
"The Willamette Valley","https://app.revenuevessel.com/dashboard/importers/7a072514-0d60-469a-bd60-f93a8522d843",48,,"LIVINGSTON INTERNATIONAL INC.-46, CEVA INTERNATIONAL, INC.-2","", "Cross Border-48"
"Osmoses","",,,"","", ""
"Rierden Chemical & Trading","https://app.revenuevessel.com/dashboard/importers/79c84185-8fa8-4b2f-99b4-e0d856df5303",319,1153,"MGF US INC.-254, WORLD WIDE INTERNATIONAL LOGISTICS-65","Singapore-370, Malaysia-274, South Korea-139", "Ambiguous-237, Ocean-63, Rail-10, Air-7, Cross Border-2"
"Soudal USA","",,,"","", ""
"Sirrus","",,,"","", ""
"Spex by ZeptoMetrix","https://app.revenuevessel.com/dashboard/importers/ec59da27-b86d-473c-a3f0-99ac5d84ae87",,,"","", ""
"ELANTAS North America","https://app.revenuevessel.com/dashboard/importers/2646fa31-937e-4d74-9433-170236666c1e",82,160,"C.H. ROBINSON INTERNATIONAL, INC.-82","China-73, India-52, United Kingdom-12", "Rail-60, Ambiguous-22"
"Polytek Development","https://app.revenuevessel.com/dashboard/importers/51eecb23-e802-4544-b234-8bcd348b872c",64,2,"ALL-WAYS FORWARDING OF N.Y., INC.-64","China-2", "Ambiguous-42, Ocean-22"
"Opta","https://app.revenuevessel.com/dashboard/importers/6b6513fb-a59d-4bef-af2c-4beacfd65414",1451,,"TRANS AMERICAN CUSTOMS BROKERS-1451","", "Cross Border-1442, Ambiguous-9"
"LACO Industries","https://app.revenuevessel.com/dashboard/importers/b79e8bae-187e-446f-bc87-6d2e706e488c",55,,"C.H. ROBINSON INTERNATIONAL, INC.-53, UPS SUPPLY CHAIN SOLUTION-2","", "Ambiguous-53, Cross Border-2"
"Hentzen Coatings","https://app.revenuevessel.com/dashboard/importers/ea1cc25a-ac43-4735-b84a-b05df5915141",8,10,"WESTERN OVERSEAS CORPORATION-8","Germany-6, Italy-2, Netherlands-2", "Ambiguous-6, Cross Border-2"
"Nippon Chemical Texas","https://app.revenuevessel.com/dashboard/importers/6d2c6b51-cfd8-45b3-a753-e946c09a3796",11,16,"BDP INTERNATIONAL-6, LIVINGSTON INTERNATIONAL INC.-5","Netherlands-10, Spain-4, Belgium-2", "Ocean-6, Cross Border-5"
"Chem Tech Services","",,,"","", ""
"Belzona Repair Technology","",,,"","", ""
"Kissner USA","",,,"","", ""
"Helena Industries","https://app.revenuevessel.com/dashboard/importers/5a26bb14-decb-4876-a561-fdf524eac717",2,183,"C.H. ROBINSON INTERNATIONAL, INC.-2","China-99, India-57, Germany-27", "Ambiguous-2"
"Norman, Fox &","https://app.revenuevessel.com/dashboard/importers/2fd792b6-12f0-4725-ba0a-aad3e3e11daf",537,201,"LE COPPERSMITH, INC.-537","South Korea-134, Taiwan-36, China-17", "Ocean-537"
"Protameen Chemicals","https://app.revenuevessel.com/dashboard/importers/ebe1cb9e-440c-490a-b3ca-65bf40924c93",23,85,"COMET CUSTOMS BROKERS, INC.-22, CARSON CUSTOMS BROKERS (USA) INC.-1","Malaysia-41, Singapore-34, China-6", "Ambiguous-22, Cross Border-1"
"Zochem","https://app.revenuevessel.com/dashboard/importers/329904cc-ae51-47e7-8438-03c793e5eca1",20,290,"WILLSON INTERNATIONAL INC-20","Dominican Republic-242, Colombia-38, Mexico-10", "Rail-20"
"Anderson Development","https://app.revenuevessel.com/dashboard/importers/de2dab37-7062-4657-af25-37411d53fbf2",12,,"ICG WORLDWIDE, INC.-12","", "Cross Border-5, Air-4, Ambiguous-3"
"Maine Oxy","https://app.revenuevessel.com/dashboard/importers/8ec66cbd-29bf-403f-92cc-e30c31769a4d",19,,"A N DERINGER, INC.-19","", "Cross Border-16, Ocean-3"
"Nova Molecular Technologies","",,,"","", ""
"CAF Outdoor Cleaning","",,,"","", ""
"Midwest Salt","https://app.revenuevessel.com/dashboard/importers/99a5b678-81ce-4578-9910-24752acbc206",1,4,"PAGE & JONES INC-1","United Kingdom-4", "Ocean-1"
"GFL Americas","",,,"","", ""
"Kuehne Chemical","https://app.revenuevessel.com/dashboard/importers/4a0828fc-9dc8-48ec-99b3-430df941b461",20,,"UPS SUPPLY CHAIN SOLUTION-20","", "Air-12, Ambiguous-8"
"Avatar","",,,"","", ""
"Belchim USA","",,,"","", ""
"ATOMIX","",,,"","", ""
"Kreussler","https://app.revenuevessel.com/dashboard/importers/38a2bea0-da56-4967-bcb2-fd2a882d5711",60,189,"J CORTINA INC-60","Germany-129, Netherlands-33, Iceland-27", "Ocean-54, Ambiguous-5, Air-1"
"Nalas Engineering Services","https://app.revenuevessel.com/dashboard/importers/b393a8f8-2923-40f8-84f2-da46643ea511",,2,"","China-2", ""
"ATMOSISCIENCE","",,,"","", ""
"Gurtler Industries","https://app.revenuevessel.com/dashboard/importers/732c48cc-b074-4c50-8af5-d4064903b595",1,,"A N DERINGER, INC.-1","", "Cross Border-1"
"Avanti International","https://app.revenuevessel.com/dashboard/importers/3525da9c-baae-42f3-94cb-59854b06fb5a",4,,"ARIES WORLDWIDE, INC.-4","", "Cross Border-4"
"Blair Rubber","",,,"","", ""
"Chemsolv","https://app.revenuevessel.com/dashboard/importers/b6b65050-2476-46b8-8899-9ccbf8e47998",5,62,"SMITH AIR INC-5","China-59, Belgium-3", "Ocean-5"
"Coatings & Adhesives","https://app.revenuevessel.com/dashboard/importers/51f6989b-0674-41e5-9a19-1809115d40d1",26,2,"CWG CUSTOMS BROKER LLC-18, CV INTERNATIONAL INC-8","Netherlands-20", "Air-18, Ocean-8"
"Southern Ionics","https://app.revenuevessel.com/dashboard/importers/eecd5667-52e7-4816-a9b2-7744de9e4627",12,,"GEORGE W RUEFF INC-12","", "Ocean-11, Air-1"
"DetraPel","https://app.revenuevessel.com/dashboard/importers/65e70f5c-4735-4db9-b0a7-c7af86effed4",5,26,"CCL CUSTOMS BROKERS INC-5","Belgium-25, Israel-2", "Ocean-4, Air-1"
"Coastal AgroBusiness","",,,"","", ""
"TiPMC Solutions","",,,"","", ""
"International Chemicals","",,,"","", ""
"Rhino Linings International","",,,"","", ""
"Diamon-Fusion International","",,,"","", ""
"TASC","",,,"","", ""
"Electroninks","",,,"","", ""
"Reade Advanced Materials","",,,"","", ""
"Phibro Ethanol","https://app.revenuevessel.com/dashboard/importers/6d29cdad-20e0-4b47-9845-30dd1ec452c0",49,38,"AMERICAN RIVER BROKERAGE SERVICES,-19, MONTGOMERY INTL-12, BDP INTERNATIONAL-9","Canada-29, China-6, Mexico-4", "Cross Border-22, Rail-12, Ocean-9, Air-4, Ambiguous-1, Parcel-1"
"California Chemical","",,,"","", ""
"ARP MATERIALS","https://app.revenuevessel.com/dashboard/importers/311870de-5c69-45b7-9d61-f636514b3ca1",,1659,"","China-433, Brazil-134, Colombia-104", ""
"Dudick","",,,"","", ""
"Alchemco","",,,"","", ""
"Ensystex","https://app.revenuevessel.com/dashboard/importers/a8ebd5b7-912f-4c50-be29-911af08ff954",25,44,"AVERITT CUSTOMS BROKERS, LLC-23, KAREN M. KUCHARSKI-2","China-14, India-10, Greece-6", "Ocean-20, Air-3, Rail-2"
"Mosaic Fertilizer","",,,"","", ""
"Carlisle Polyurethane Systems","https://app.revenuevessel.com/dashboard/importers/70b2a5f5-7419-4fe2-8667-719f3e40e16c",1,131,"C & C CUSTOMS BROKERAGE, INC.-1","South Korea-130, China-2", "Air-1"
"Codeac Solutions","",,,"","", ""
"Reagent Chemical & Research","https://app.revenuevessel.com/dashboard/importers/f9fbc432-f3d1-431d-99e5-4bf4d3abcb3e",24,,"CN CUSTOMS BROKERAGE SERVICES (USA)-24","", "Cross Border-24"
"CATEXEL Nease","",,,"","", ""
"The Hygenic Company","",,,"","", ""
"Locus Ingredients","",,,"","", ""
"Zschimmer & Schwarz Interpolymer","https://app.revenuevessel.com/dashboard/importers/61633fa7-2310-4320-98b7-aec2521693c1",141,92,"EXPEDITORS INTERNATIONAL-120, SAVINO DEL BENE USA INC-21","Italy-91, India-2", "Ocean-140, Air-1"
"Florachem","https://app.revenuevessel.com/dashboard/importers/1f34030f-ae34-48c1-be96-4b74334d7cdc",59,,"LESCHACO, INC.-54, AJ ARANGO-3, DIXON, SMITH & ASSOCIATES, INC.-2","", "Ocean-52, Ambiguous-7"
"Shintech","https://app.revenuevessel.com/dashboard/importers/68d26cc4-f9f7-4be5-ac3c-ce43a89ffb74",411,557,"R WILBUR SMITH & CO., INC.-313, MEIKO AMERICA INC-97, EUGENIO F RICCI-1","Japan-256, Portugal-103, South Korea-62", "Ocean-279, Ambiguous-72, Air-56, Rail-2, Cross Border-2"
"Bodo Moeller Chemie Corp.","https://app.revenuevessel.com/dashboard/importers/23e872f0-9cbf-4c11-9848-c8fa1356f01d",16,16,"EMO TRANS, INC.-16","Germany-32", "Air-16"
"Spectra Colors","https://app.revenuevessel.com/dashboard/importers/56b841c7-fd00-487e-a952-bb1b9d750365",42,52,"J.M. RODGERS CO., INC.-41, DHL EXPRESS (USA) INC.-1","India-44, China-10", "Ambiguous-38, Air-2, Ocean-1, Parcel-1"
"GMM Nonstick Coatings","",,,"","", ""
"Mitsubishi Chemical Carbon Fiber and Composites","",,,"","", ""
"Jarchem Innovative Ingredients, a Vertellus","https://app.revenuevessel.com/dashboard/importers/593ff54e-78e9-478f-9044-f4fd229bcb7a",14,,"ODYSSEY INTERNATIONAL SERVICES, INC-11, MOHAWK GLOBAL LOGISTICS, CORP.-1, DHL EXPRESS (USA) INC.-1","", "Ocean-8, Rail-3, Air-1, Parcel-1, Ambiguous-1"
"Carrubba","https://app.revenuevessel.com/dashboard/importers/d817778a-0958-47c9-95f9-c4ff1ce73c3f",1,,"DACHSER USA AIR & SEA LOGISTICS INC-1","", "Air-1"
"PSI","",,,"","", ""
"Milesi Wood Coatings","",,,"","", ""
"SiVance","https://app.revenuevessel.com/dashboard/importers/b9c51c65-3eb6-4c64-8c79-a5f38e2a3559",12,18,"GHY USA-12","China-21", "Ocean-9, Air-3"
"OXERRA Americas","",,,"","", ""
"Lapolla Industries","",,,"","", ""
"Center for Programmable Energy Catalysis","",,,"","", ""
"Pressure Chemical","https://app.revenuevessel.com/dashboard/importers/76d26cb2-144e-4593-8905-639b15640d81",4,2,"R L SWEARER COMPANY, INC-4","China-2", "Ambiguous-4"
"Christeyns","",,,"","", ""
"Everbrite Coatings","",,,"","", ""
"Griffco Valve","https://app.revenuevessel.com/dashboard/importers/91c235b0-47a1-4e06-899e-e51cda90f8c7",12,,"UPS SUPPLY CHAIN SOLUTION-12","", "Cross Border-7, Ambiguous-4, Air-1"
"Universal Industrial Gases","https://app.revenuevessel.com/dashboard/importers/b638318f-c95c-473e-b208-b5907abf666e",29,6,"AIR CARGO TRANSPORT SERVICES, INC.-29","Turkey-6, Spain-6", "Ocean-18, Rail-4, Air-4, Ambiguous-3"
"HengYe","",,,"","", ""
"KEY POLYMER","",,,"","", ""
"UNXChristeyns","",,,"","", ""
"Safety Wercs","",,,"","", ""
"Ideal Chemical & Supply","",,,"","", ""
"YATU USA","",,,"","", ""
"Promerus","",,,"","", ""
"Coalition","",,,"","", ""
"APEX Engineered Products","",,,"","", ""
"Best Sanitizers","https://app.revenuevessel.com/dashboard/importers/3be70bd8-6351-47c2-b89e-95394b416d55",38,58,"WORLD EXPRESS SHIPPING TRANSPORTATI-36, UPS SUPPLY CHAIN SOLUTION-2","China-44, Japan-34, South Korea-3", "Air-24, Ambiguous-7, Rail-2, Parcel-2, Cross Border-2, Ocean-1"
"Houghton Chemical","https://app.revenuevessel.com/dashboard/importers/b52b5d3b-a2e3-4d45-9eea-d393562c9508",,,"","", ""
"Arboris","https://app.revenuevessel.com/dashboard/importers/b2b05402-6847-42a7-bfc1-7dce9820de43",8,17,"EXPEDITORS INTERNATIONAL-8","Germany-9, Brazil-3, Jamaica-3", "Ocean-8"
"PTTGC America","",,,"","", ""
"ILMO Products","",,,"","", ""
"AccuStandard","",,,"","", ""
"APV Engineered Coatings","https://app.revenuevessel.com/dashboard/importers/49d575dd-2d5b-438d-8695-e0c1cef6806b",3,,"RUSSELL A. FARROW (U.S.) INC.-3","", "Cross Border-3"
"Riteks","https://app.revenuevessel.com/dashboard/importers/25c44acc-6395-4324-b29d-548c49c2a046",1,2,"LESCHACO, INC.-1","Brazil-2", "Ocean-1"
"Dynachem","",,,"","", ""
"LD Davis Glues & Gelatins","https://app.revenuevessel.com/dashboard/importers/2ec91088-ae19-479e-ab0a-d4252ca622d7",20,28,"SEAMODAL TRANSPORT CORP.-20","Italy-18, Belgium-2, Bahamas-2", "Ocean-19, Ambiguous-1"
"Lotte Chemical USA","https://app.revenuevessel.com/dashboard/importers/98890dc6-7d2d-4671-99a3-c31619f4037a",1354,60,"APAC CUSTOMS BROKERS, LLC-1337, GANN GROUP CORP-16, DHL EXPRESS (USA) INC.-1","South Korea-164", "Ocean-552, Ambiguous-345, Rail-222, Air-96, Cross Border-48"
"Misr Chemical Industries","",,,"","", ""
"AvantGuard","",,,"","", ""
"Sionic Energy","",,,"","", ""
"Process Engineering International","",,,"","", ""
"Foremark Performance Chemicals","",,,"","", ""
"Twin Rivers","https://app.revenuevessel.com/dashboard/importers/918574a4-8a5d-4b42-99aa-d4adf8e4178d",15,,"ITG INTERNATIONAL TRANSPORTS, INC.-13, ODYSSEY INTERNATIONAL SERVICES, INC-2","", "Ocean-13, Ambiguous-2"
"Valudor Products","https://app.revenuevessel.com/dashboard/importers/e0b6bf0c-a9b0-45df-bdfb-a0832558d0c2",481,119,"MARINA BAY CUSTOMS BROKER, INC.-264, JP LINK, LTD-217","China-43, India-16, South Korea-16", "Ocean-424, Ambiguous-35, Rail-16, Air-5, Cross Border-1"
"Pacific Industrial Development","https://app.revenuevessel.com/dashboard/importers/4edc5bf5-6725-4f37-aaca-8bc7d449c20b",224,458,"KUEHNE & NAGEL INC-81, YUSEN LOGISTICS (AMERICAS) INC-78, OEC LOGISTICS INC-59","China-416, South Korea-57, Vietnam-5", "Ocean-105, Air-54, Ambiguous-34, Cross Border-31"
"Mission Chemical","",,,"","", ""
"MFG Chemical","https://app.revenuevessel.com/dashboard/importers/c86444d4-6413-477b-8393-89d0b51020d2",9,12,"JOHN S JAMES CO-9","India-12", "Ocean-9"
"LGC Industrial","",,,"","", ""
"Boulder Scientific","https://app.revenuevessel.com/dashboard/importers/a2bb9c69-c42b-433a-8586-01e539c47ca9",75,177,"ALBA WHEELS UP INT'L INC.-38, NOATUM LOGISTICS USA LLC-35, UPS SUPPLY CHAIN SOLUTION-2","Spain-43, Belgium-28, China-26", "Ambiguous-40, Ocean-20, Air-12, Parcel-3"
