"Find companies","legal_name","Normalize Company Name","company_name","Description","Primary Industry","Size","Type","hq_location","Country","domain","LinkedIn URL","Exports Status","Perplexity AI","Update People Search (Find people Table) - 2025-07-23T00:23:14.108Z","Update People Search (Find people Table) - 2025-07-23T05:01:32.416Z","Update People Search (Find people Table) - 2025-07-25T07:31:30.042Z"
,"ChemPoint","✅ ChemPoint","ChemPoint","At ChemPoint, we combine progressive technology and efficient business processes to accelerate the business of chemistry. We utilize the strengths of traditional distribution and build on this model by embracing technology  and innovation to improve the customer experience. 

We engage in exclusive product line relationships with premier manufacturers to provide personalized marketing, sales, and distribution services for more than 90 supplier partners for over 190 product lines globally.","Chemical Manufacturing","201-500 employees","Privately Held","Bellevue, Washington","United States","chempoint.com","https://www.linkedin.com/company/chempoint",,,,,
,"Toray Advanced Composites","✅ Toray Advanced Composites","Toray Advanced Composites","Toray Advanced Composites, formerly known as TenCate Advanced Composites, will continue the legacy of innovation, now with the strength of the Toray Group behind us to provide the ultimate value to our customers. Toray Advanced Composites will lead the market in development and manufacture of a broad range of advanced composite material solutions for aerospace, satellite, communications, and industrial markets. 

Toray Advanced Composites is dedicated to delighting customers with world class products, technical service and support, making your program a success.","Chemical Manufacturing","501-1,000 employees","Privately Held","Morgan Hill, California","United States","toraytac.com","https://www.linkedin.com/company/torayadvancedcomposites",,,,,
,"Solugen","✅ Solugen","Solugen","At Solugen, we believe planet-scale change starts with the chemistry we use every day. We’re revolutionizing how things are made with the world’s first carbon negative molecule factory: the Bioforge. Harnessing the power of evolved enzymes, plant-based feedstocks, and clean, catalytic reactions, we are making the materials we need to sustain life on Earth—faster, cheaper, and without emissions or waste.","Chemical Manufacturing","201-500 employees","Privately Held","Houston, Texas","United States","solugen.com","https://www.linkedin.com/company/solugen",,,,,
,"Ecovyst, Inc.","✅ Ecovyst","Ecovyst","Ecovyst is a pure-play catalyst and services company with over 200 years of history. We are accelerating the transition to a sustainability-driven future through our innovative products and services that address our customers' evolving business challenges, tightening global regulatory standards, and changing consumer preferences.

Our company operates through two complementary, leading business segments:
●	Ecoservices provides end-to-end sulfuric acid regeneration services and specialty-grade high-purity virgin sulfuric acid for diverse applications including mining, electronics, lead-acid batteries, water treatment, and agricultural products. Ecoservices regeneration services help avoid significant landfill or deep well disposal, contributing to a circular economy through the recycling of spent surfuric acid.

●	Advanced Materials & Catalysts develops and sells proprietary and custom engineered technologies for cleaner fuels, emissions control, and waste reduction. Our portfolio includes silica catalysts used by leading global polyethylene producers for durability and lightweighting, and zeolite catalysts for cleaner air applications and plastic recycling.

At Ecovyst, we focus on three key trends shaping our future:

 Increasing standards for manufacturers to reduce environmental footprints
 The shift to cleaner energy sources, particularly in transportation
 Growing urgency for plastic recycling solutions

Responsive—and fast-adapting to rapidly changing economic environments—Ecovyst supports customers with solutions that advance business growth and sustainability goals. Our technologies play a critical role in propelling business expansion for our customers. At Ecovyst, we are a catalyst for positive change.","Chemical Manufacturing","501-1,000 employees","Public Company","Wayne, Pennsylvania","United States","ecovyst.com","https://www.linkedin.com/company/ecovyst-inc",,,,,
,"TPC Group","✅ TPC","TPC","Headquartered in Houston, Texas, TPC Group is a leader in providing highly specialized lines of chemical products to major chemical and petroleum-based companies worldwide. 

As North America’s largest producer of finished butadiene and the largest producer of butene-1, companies around the globe rely on us as their dependable supplier for hydrocarbon processing and other specialty chemicals. We are the sole producer of chemical grade diisobutylene in North America and the second largest active merchant producer of high purity isobutylene in North America. Our products are sold to a wide range of performance, specialty and intermediate markets, including synthetic rubber, fuel additives, plastics and surfactants. Put simply, we make the products that go into making the world’s tires, carpets, gasoline additives and many other essential items used in our daily lives.

TPC Group operates manufacturing facilities in the industrial corridor adjacent to the Houston Ship Channel, the heart of the world’s largest chemical processing center. In addition, we operate a facility in Port Neches, Texas, as well as a product terminal in Lake Charles, Louisiana.

Sustainability
We will always serve the communities where we operate by creating value through environmental stewardship, social responsibility, and economic prosperity. These commitments are an integral part of our drive for sustainability because they help our employees achieve, our customers succeed, our shareholders prosper, and our communities thrive; they support everything that creates a livable and sustainable world.","Chemical Manufacturing","501-1,000 employees","Privately Held","Houston, Texas","United States","tpcgrp.com","https://www.linkedin.com/company/tpc-group",,,,,
,"Dymax","✅ Dymax","Dymax","Dymax develops innovative eco-friendly light-curable materials, dispense equipment, and UV/LED light-curing systems for OEMs. Our materials and equipment are perfectly matched to work seamlessly with each other, providing design engineers with tools to improve manufacturing efficiencies. Our expertise in light-curing technology allows us to provide customers with product and process design, testing, assessment, initial production runs, system integration services, and support for the life of their process. We serve major markets including aerospace and defense, energy, medical device and electronics.","Chemical Manufacturing","501-1,000 employees","Privately Held","Torrington, CT","United States","dymax.com","https://www.linkedin.com/company/dymax","Yes","Exports: Yes

Evidence: ""Dymax Corporation, an ISO 9001 certified, world-leading manufacturer of advanced light-curable adhesives, coatings, and sealants and light-curing equipment, was recognized by the U.S. Department of Commerce for its innovation and exportation to foreign companies. Foreign exports are driving Dymax’s growth and most of the company’s manufacturing and research and development jobs are related to their exports. In addition to their headquarters in Torrington, Dymax has locations in Germany, China, and Hong Kong which serve the assembly needs of the medical, electronic, optical, automotive, appliance, metal finishing, power generation, and industrial markets worldwide.""[1]

Further supporting data indicates Dymax is exported to over 51 countries worldwide, with Vietnam, Philippines, and Ecuador being principal importers[2]. Additional export shipment data from Hong Kong also confirms international distribution[3]. 

There is clear evidence that Dymax exports its products internationally and serves customers in multiple global markets.",,,
,"Chem-Trend","✅ Chem-Trend","Chem-Trend","Chem-Trend is a leader in delivering innovative, value-adding solutions that improve quality, reduce costs and boost productivity for molding and casting operations around the world. Our network of industry experts work onsite with customers and in our advanced laboratories to resolve manufacturing challenges. Our technology portfolio includes a wide variety of high-performance release agents and related processing aids used in the die casting, polyurethane, rubber, tire, composites, thermoplastics and wood composite industries. 

With offices and manufacturing sites in North America, South America, Asia and Europe, Chem-Trend is a local partner to customers wherever they do business. As a member of the Freudenberg Group, Chem-Trend can also leverage vast innovation, supply chain and financial resources to better serve industry. We embrace the group’s “Guiding Principles” to deliver exceptional value to our customers, lead our sustainable business practices and build a culture dedicated to ethical conduct and respect for our employees.","Chemical Manufacturing","501-1,000 employees","Privately Held","Howell, Michigan","United States","chemtrend.com","https://www.linkedin.com/company/chem-trend",,,,,
,"Xenon arc","✅ Xenon arc","Xenon arc","Xenon arc builds branded channels to market on behalf of specialty chemical and food ingredient producers. Rather than choose between your direct customer relationships or off-loading those to distribution, we give you the best of both options. Our model consists of a branded commercial team, a branded eCommerce site, lead management, and full distribution services.

We fill a critical gap in your channel strategy and enable you to maintain and grow your relationship with typically underserved customers, while off-loading the operational complexity and cost of servicing those customers.","Chemical Manufacturing","51-200 employees","Privately Held","Bellevue, Washington","United States","xenonarc.com","https://www.linkedin.com/company/xenon-arc",,,,,
,"AIRCO","✅ AIRCO","AIRCO","AIRCO is a world leader in carbon conversion technology, paving the way to global energy independence and security by transforming CO₂ into a valuable resource. Its proprietary AIRMADE Technology is an adaptable platform that allows any industry to efficiently produce fully formulated synthetic fuels from captured CO₂ and hydrogen.

The company has commercial partnerships with airlines, including JetBlue and Virgin Atlantic, and has been awarded multiple government contracts, including with NASA and the United States Department of Defense’s Defense Innovation Unit. The company has received industry recognition through awards such as Time Best Inventions, Inc. Best in Business, Fast Company World Changing Ideas, and the XPrize for Carbon Removal.

AIRCO’s accolades include winning the prestigious Green Chemistry Challenge Award from the Environmental Protection Agency in October 2023. This award is given to organizations that reinvent processes to reduce the generation of hazardous substances and byproducts. AIRCO was also recently declared a winner of the World Economic Forum UpLink Sustainable Aviation Challenge, accelerating the development of promising technology pathways that enable widespread uptake of SAF.","Chemical Manufacturing","51-200 employees","Privately Held","Brooklyn, NY","United States","aircompany.com","https://www.linkedin.com/company/theaircompany",,,,,
,"American Chemistry Council","✅ American Chemistry Council","American Chemistry Council","The American Chemistry Council (ACC) serves as a leading voice for the U.S. chemical industry—a $633 billion enterprise that helps fuel innovation, support manufacturing, and contribute to long-term economic growth.

Through science-based advocacy, policy engagement, and collaboration across the public and private sectors, ACC works to represent the business of chemistry as a powerful force for progress in national competitiveness, infrastructure, and public health.

The business of chemistry is positioned to deliver real-world impact by:

• Supporting more than 554,000 skilled, good-paying American jobs.

• Enhancing safety through dedicated investment in research and product innovation.

• Providing solutions to improve lives.

As one of the nation’s most established trade associations in the chemical sector, ACC remains committed to responsible leadership, safety through programs like Responsible Care, regulatory clarity, and public-private collaboration that can support long-term industry advancement.","Chemical Manufacturing","51-200 employees","Non Profit","Washington, DC","United States","americanchemistry.com","https://www.linkedin.com/company/american-chemistry-council",,,,,
,"Spectrum Chemical Mfg. Corp.","✅ Spectrum Chemical Mfg. Corp.","Spectrum Chemical Mfg. Corp.","Spectrum Chemical Mfg. Corp. manufactures and distributes fine chemicals and laboratory products with quality and delivery you can count on every time. The Company’s major emphasis is on USP, NF, FCC, BP, EP, JP and ACS grade products, active pharmaceutical ingredients and controlled substances, excipients, dietary supplements, cosmetic ingredients, biochemicals, pre-made solutions, and a complete line of high-purity solvents for critical analytical applications.  These products are available in laboratory research, scale-up and production quantities.  Spectrum also provides US-based custom synthesis and contract manufacturing capabilities, including the custom synthesis of new chemical entities (NCE’s) and commercial cGMP manufacture of active pharmaceutical ingredients, DEA Controlled Substances and their chemical intermediates.

Spectrum also distributes laboratory supplies and equipment items featuring PerkinElmer’s complete line of consumables for GC, HPLC, IR, UV/VIS, AA, ICP, mass spectrometry and thermal analysis instrumentation. Combined with additional products from over 250 manufacturers of labware, consumables, lab equipment and appliances, Spectrum is truly a one-stop shopping destination with over 100,000 chemicals and lab equipment & consumable items available.","Chemical Manufacturing","201-500 employees","Privately Held","New Brunswick, NJ","United States","spectrumchemical.com","https://www.linkedin.com/company/spectrum-chemical",,,,,
,"Takasago International Corp. (USA)","✅ Takasago International Corp.","Takasago International Corp.","Takasago is a leading company in the flavor and fragrance industry. Takasago International Corporation was established in Japan in 1920. For 100 years, Takasago has developed flavors and fragrances for some of the world’s most successful manufacturers of foods, beverages, fine fragrances, home, and personal care products.

Nowadays, Takasago maintains offices, production sites, and R&D centers in 27 countries and regions. Through our network of global research, production, creativity, and marketing, we develop products tailored to the needs of individual markets. By utilizing our technologies and our global network, we will continue developing high-quality and innovative products that contribute to cultural and social progress.","Chemical Manufacturing","51-200 employees","Public Company","Rockleigh, NJ","United States","takasago.com","https://www.linkedin.com/company/takasago-international-corp-usa",,,,,
,"Spartan Chemical Company","✅ Spartan Chemical","Spartan Chemical","Your world is busy enough, that’s why at Spartan Chemical Company we make clean simple.  A recognized leader in the formulation and manufacture of sustainable cleaning and sanitation solutions for the industrial and institutional market since 1956, Spartan proactively provides services, chemicals, and system solutions in a cost effective manner.  Spartan is proud to market and distribute its products and solutions to building service contractor, education, healthcare, food service and processing, lodging/hospitality, and industrial markets.

Spartan Chemical Company, Inc. is a manufacturer of Chemical Specialty Maintenance Products and Industrial Degreasers committed to enhancing its strong leadership position in the industry through substantial investment of time, money and resources. We have greatly expanded physical production capabilities, as well as committed vast capital to research and development. Advanced I.T. capabilities teamed with aggressive marketing programs reinforce Spartan's ultimate goal: to lead the industry as one who not only listens and responds to current customer needs, but anticipates and formulates Environment and User friendly programs, systems and products that assist customers in handling the ever changing paradigms of environmental sanitation.","Chemical Manufacturing","201-500 employees","Privately Held","Maumee, OH","United States","spartanchemical.com","https://www.linkedin.com/company/spartan-chemical-company",,,,,
,"Microban International","✅ Microban International","Microban International","WHAT WOULD YOU DO MORE OF IF YOU COULD WORRY LESS?

Microban International, Ltd. is the world's leading innovator in antimicrobial, odor control, and surface modification technologies. Added at the stage of manufacture or applied topically, our proactive systems protect products against degrading microbial growth. 

With combined expertise spanning more than two centuries, Microban's skillful team of microbiologists, chemists, and polymer engineers continue to drive creative solutions that address problems before they start. Our proven technologies are successfully integrated into a range of materials, offering enhanced product performance and a distinguishable competitive advantage. 

Today, Microban has partnerships with 300+ companies across the globe. Our brand is widely recognized as a valuable Trustmark and is proudly featured on more than 1,000 products in over 30 countries.

Headquartered in North Carolina with operations in North America, Europe, and the Asia Pacific, Microban has a comprehensive and regulatory-compliant solution for every market. We also have extensive logistics capabilities, enabling us to efficiently serve customers worldwide.

In July 2021, Microban International announced that we were bringing together the Microban and Ultra-Fresh brands and technologies under a single umbrella. Following the initial acquisition of Thomson Research Associates in 2016, Microban International has now completely harmonized the two organizations, operating as a single company under the Microban International name. By consolidating our services and combining over 100 years of collective industry experience, Microban International can better serve our customers worldwide.

For more information on how your product can benefit from protection that lives on, visit www.microban.com today.","Chemical Manufacturing","51-200 employees","Privately Held","Huntersville, NC","United States","microban.com","https://www.linkedin.com/company/microban-international",,,,,
,"Hydrite","✅ Hydrite","Hydrite","At Hydrite we are family driven, financially strong, and looking for problem solvers to join our growing team.

 What we do:

Hydrite is one of the largest independent providers of chemicals and related services in the United States. In other words: we make and supply chemistries that make your food and beverages safer and more flavorful, your water cleaner, your manufacturing line more efficient, and your crops healthier.

 How Hydrite stands out:

-34th Annual Winner of the Wisconsin Manufacturer of the Year
-Seven-time winner of the Top Workplaces Award
-Gold designation as a Well Workplace award recipient from WELCOA
-No. 10 on the 12th Annual ICIS Top 100 Chemical Distributors List
-Ranked on the Deloitte Wisconsin 75 list 17 times
-Record-breaking safety performance
-Privately-held, family-owned company for 95+ years

 What employees say about Hydrite:

“The owners truly care about the employees and their families, despite significant growth. This type of environment is becoming more rare. I feel blessed to be part of the success of the organization.”
“Strong family values and great benefits.”
“Everyone cares about everyone else, from the lowest to highest positions in the company.”

 How Hydrite gives back:

Hydrite has a long history of supporting the communities in which we operate through charitable giving. Our culture fosters and facilitates community engagement by our people in both their personal and professional capacities. This includes our Hydrite Helps community engagement program, which has driven thousands of volunteer time and major financial support to local nonprofits in the areas of children’s needs & development, education, environment, and local needs. More on how we give back: https://www.hydrite.com/Community-Giving.htm

We’d love to have you join the team! Learn more about working for Hydrite: https://www.hydrite.com/careers.htm","Chemical Manufacturing","501-1,000 employees","Privately Held","Brookfield, Wisconsin","United States","hydrite.com","https://www.linkedin.com/company/hydrite-chemical-co-",,,,,
,"Restek Corporation","✅ Restek","Restek","Founded in 1985, Restek is a leading developer and manufacturer of chromatography columns, sample preparation products, reference standards, and instrument accessories. We work with analysts around the world, providing them with tools to monitor the quality of air, water, soil, foods, botanicals, pharmaceuticals, and petrochemical products.

GC Columns: General-purpose and specialty stationary phases on highly inert Rxi fused silica or unbreakable MXT stainless steel; WCOT or PLOT columns, packed or micropacked columns, and more.

LC Columns: Force, Raptor, Roc, and other silica supports for HPLC and UHPLC analytical and prep columns.

GC and LC Accessories: Tools, maintenance supplies, and instrument replacement parts that meet or exceed original equipment manufacturers’ performance: lab-proven and available for any instrument.

Reference Standards: Over 1500 stock formulations; both stock and custom certified reference materials (CRMs) are manufactured and QC-tested in ISO-accredited labs.

Air Sampling: Canisters featuring RAVE+ valves, gas calibration standards, gas sampling bags, personal air samplers, thermal desorption (TD) tubes, and more; Siltek and Sulfinert treatments for unsurpassed inertness.

Sample Preparation: Resprep solid phase extraction (SPE) and protein precipitation (PPT), Revive in-line sample preparation (ILSP), Q-sep QuEChERS, solid phase microextraction (SPME), ASE extraction, sample filtration, vials, syringes, and more.

Restek is an independent, 100% employee-owned company with a strong corporate culture. We are committed to providing exceptional “Plus 1” customer service that exceeds your expectations.

Our customers’ work makes the world a safer and healthier place, and we are excited to help you make a difference. Contact your local Restek representative today at www.restek.com/contact-us","Chemical Manufacturing","201-500 employees","Privately Held","Bellefonte, PA","United States","restek.com","https://www.linkedin.com/company/restek-corporation",,,,,
,"Monolith","✅ Monolith","Monolith","Monolith pioneers sustainable US manufacturing via pyrolysis, producing low-emission carbon black and hydrogen.","Chemical Manufacturing","51-200 employees","Privately Held","Lincoln, NE","United States","monolith-corp.com","https://www.linkedin.com/company/monolith-corp",,,,,
,"Cosmo International Fragrances","✅ Cosmo International Fragrances","Cosmo International Fragrances","Cosmo International Fragrances is a privately owned company that has been in operation for over 40 years.  We work with well-established and indie brands globally and manufacture fragrance oils for fine fragrance, personal care, home, hair care and household products.  With production plants, creative centers and R&D sites in the US, Europe, Asia and Middle East, we bridge the gap between fragrance creation, consumer needs, and emerging innovations.

People, Parfum, Purpose","Chemical Manufacturing","201-500 employees","Privately Held","Fort Lauderdale","United States","cosmo-fragrances.com","https://www.linkedin.com/company/cosmo-international-fragrances-sa",,,,,
