"Find companies","legal_name","Normalize Company Name","company_name","Description","Primary Industry","Size","Type","hq_location","Country","domain","LinkedIn URL","Exports Status","Perplexity AI","Update People Search (Find people Table) - 2025-07-23T00:23:14.108Z","Update People Search (Find people Table) - 2025-07-23T05:01:32.416Z","Update People Search (Find people Table) - 2025-07-25T07:31:30.042Z"
,"Carus","✅ Carus","Carus","At Carus, we make and sell products that clean the air, water, and soil. As an organization, we are focused on preserving our planet for a more sustainable future!

Carus is a highly respected, family-owned company with deep roots in Illinois’ Starved Rock Country. 

For over 100 years, Carus has been the employer of choice in the greater LaSalle-Peru area. Carus is a global company with locations in LaSalle, Illinois; Peru, Illinois; Belmont, North Carolina; and Oviedo, Spain. We actively support Starved Rock Country in alignment with our core elements of community outreach: environment, education, and local community support.

Please note: Use of Carus' social media platforms is subject to our social media policy: https://www.carusllc.com/social-media-policy/","Chemical Manufacturing","51-200 employees","Privately Held","Peru, Illinois","United States","carusllc.com","https://www.linkedin.com/company/carus-llc",,,,,
,"MÜNZING","✅ MÜNZING","MÜNZING","A global specialty additive supplier offering defoamers for reducing the problems associated with foam formation in the production and application of water-based systems.  Munzing's product lines include: DEE FO and AGITAN - defoamers for printing inks, coatings and adhesives; EDAPLAN - leveling and universal dispersing agents; METOLAT - wetting agents; TAFIGEL - rheology modifiers; CERETAN - micronized and coated waxes; LUBA-print - wax dispersions. 
For industrial applications, our FOAM BAN products are formulated for specific levels of foam control unique to each application, from metalworking fluids and industrial cleaners to antifreeze coolants and industrial lubricants. 
Our MAGRABAR product line has been developed for a wide range of applications in the food industry. We offer both liquid and powder products in a
range of materials and concentrations, including options suitable for organic, non-GMO and identity preserved processing. Our organic products are certified by QAI, and non-GMO options are Non-GMO Project Verified.
If you have a specific foaming challenge, we have the technical expertise and laboratory capabilities to craft a unique solution.","Chemical Manufacturing","51-200 employees","Privately Held","Bloomfield, New Jersey","United States","munzing.com","https://www.linkedin.com/company/munzing",,,,,
,"CREMER North America, LP","✅ CREMER North America, LP","CREMER North America, LP","CREMER North America, offers an unmatched portfolio of oleochemical products and contract manufacturing solutions, tailored for leading industries including Personal Care & Cosmetics, Pet Treats, and others.  By streamlining and expanding your operations, we reduce cost and increase operational efficiency and performance.  From the lab to production to global shipping, our services cut your time to market, minimize risk, and sharpens your competitive edge, for a more prosperous and sustainable future for all.","Chemical Manufacturing","201-500 employees","Privately Held","Cincinnati, Ohio","United States","cremerna.com","https://www.linkedin.com/company/cremer-northamerica",,,,,
,"Advanced Biotech","✅ Advanced Biotech","Advanced Biotech","Advanced Biotech is dedicated to producing the highest quality flavor and fragrance ingredients that inspire and captivate the senses. Our extensive portfolio, comprising of natural, synthetic, and fermentation-derived molecules, is constantly evolving to meet the changing demands of our valued clients. Utilizing proprietary production methods and a customer-centric approach, we are committed to delivering exceptional ingredients that elevate formulations.

We invite you to explore our product categories to discover why we offer some of the best ingredients available today. For more information about our offerings or any questions you may have, please don't hesitate to contact us.","Chemical Manufacturing","51-200 employees","Privately Held","Totowa, NJ","United States","adv-bio.com","https://www.linkedin.com/company/advanced-biotech",,,,,
,"Jowat Corporation","✅ Jowat","Jowat","As one of the leading suppliers of industrial adhesives, we at Jowat Corporation pride ourselves in offering quality and unparalleled service. We offer a tailored, custom approach to every client and are dedicated to their future success. With over 175 employees at our Archdale location, we manufacture and distribute adhesives for the woodworking, furniture, electrical, graphic arts, textile, automotive, as well as the paper and packaging industry. 

Jowat Corporation is a subsidiary of the family-owned enterprise Jowat SE and therefore part of the company group. Jowat SE with headquarters in Detmold is one of the world’s leading suppliers of industrial adhesives. These are mainly used in woodworking and furniture manufacture, in the paper and packaging industry, for graphic arts, in the textile, automotive as well as in the electrical industry.

The company was founded in 1919 and has manufacturing sites in Germany in Detmold and Elsteraue, plus four other producing subsidiaries, Jowat Corporation in the USA, Jowat Swiss AG, Jowat Manufacturing in Malaysia, and Jowat China Adhesives Co. Ltd. The supplier of all adhesive groups is manufacturing 100,000 tonnes of adhesives per year, with 1,300 employees. A global location structure with 26 organisations plus partner companies is guaranteeing local service with close customer contact.","Chemical Manufacturing","51-200 employees","Privately Held","High Point, North Carolina","United States","jowat.com","https://www.linkedin.com/company/jowat-corporation",,,,,
,"Lion Elastomers","✅ Lion Elastomers","Lion Elastomers","Lion Elastomers is a premier manufacturer of elastomeric polymers with a legacy as one of the first synthetic rubber producers in the world. Our products represent the highest performing, highest quality EPDM, ESBR, SSBR, PBR and SBS rubber materials available anywhere in the world. 

Lion Elastomers' Sales, Customer Service and Logistics organizations are well known for building solid, long term relationships with our customers. Lion is ready to address our customers' business needs in order to provide the very best, mutually beneficial commercial solutions.

Lion Elastomers' Technical, R&D and New Business Development organizations are ready to serve your new product development and problem solving requirements. Our Technical Services and R&D Teams have extensive experience in the rubber industry and are ready to assist you. Our modern Technical Services, R&D and New Product Development Technology Center is located in Baton Rouge, LA. 

Lion Elastomers is firmly committed to the advancement of industry leadership in polymer technology. This is accomplished via best in class manufacturing, quality assurance, logistics, innovation and customer focus. We look forward to serving you.","Chemical Manufacturing","501-1,000 employees","Privately Held","Geismar, LA","United States","lionelastomers.com","https://www.linkedin.com/company/lion-elastomers",,,,,
,"Koch-Chemie USA","✅ Koch-Chemie USA","Koch-Chemie USA","Koch-Chemie: Excellence for Experts

Since 1968 Koch-Chemie stands for high-quality cleaning and care products in the fields of washing chemistry, vehicle preparation, workshop and industry. Tradition, which is characterised by constant improvements and attention to detail: Excellence for Experts. We are one of the few companies in our industry that researches, produces and sells its own products. 
Our subsidiary in the USA was founded in July 2020. 

We identify with our company's origin in Germany with its high quality, social and environmental standards. As a systems supplier, we have a complete range of products for the entire automotive sector. Customer-oriented service is just as important to us as outstanding product quality. 

Imprint: https://www.koch-chemie.com/us/imprint
Privacy Policy: https://www.koch-chemie.com/us/privacy-policy","Chemical Manufacturing","51-200 employees","Public Company","Alpharetta, Georgia","United States","koch-chemie.com","https://www.linkedin.com/company/koch-chemie-usa",,,,,
,"Garratt-Callahan Company","✅ Garratt-Callahan","Garratt-Callahan","Garratt-Callahan Company is one of the leading providers of expert industrial water treatment solutions. Offering comprehensive water treatment solutions and expert consulting services backed by 117+ years of experience, we optimize system performance to extend equipment life, reduce health and safety risks, and minimize operating costs. 

We are guided by our responsibility to provide our customers with unparalleled customer service and effective, dependable water treatment solutions. Garratt-Callahan takes a proactive scientific approach to prevent problems before they occur so that our customers can spend more time running their business and less time trying to fix it. 

Specialties
We utilize the most current, proven technology and treat our customers’ facilities with the same care and conscientiousness that we would with our own. We offer a full range of chemical and equipment solutions, created in our certified laboratory that follows State and Federal EPA standards. We also ensure that our water treatment products are certified in compliance with the international standards of quality of ISO 9001:2015 by NSF-ISR. 

Our water treatment services include:
* Boiler Water Treatment
* Cooling Water Treatment
* Wastewater Solutions
* LAP Certified In-house Laboratory
* Water Management Plans
* Legionella Mitigation
* Secondary Disinfection
* Water Treatment Training

ASSE/IAPMO/ANSI 12080 Water Safety Training
With the global COVID-19 pandemic and virus variants, water safety is even more critical. Our team is trained and certified with the implementation of ASHRAE 188-2018 to minimize the risk of Legionellosis. In 2020, ASHRAE adopted the American Society of Sanitary Engineers (ASSE) 10280.

A growing number of our field technicians are certified under the new ASSE 12080 program.","Chemical Manufacturing","201-500 employees","Privately Held","Burlingame, CA","United States","garrattcallahan.com","https://www.linkedin.com/company/garratt-callahan-company",,,,,
,"ABITEC Corporation","✅ ABITEC","ABITEC","ABITEC is a world leader in the development of lipids and specialty ingredients for the pharmaceutical, nutraceutical, and specialty chemical industries. For more than 50 years, ABITEC has utilized its technical expertise to create diverse and versatile product lines that meet a wide range of formulating challenges. 

Additional capabilities include:
•	Esterification & transesterification 
•	Quarterization, alkoxylation, ethoxylation & propoxylation 
•	Glycerolysis
•	Fractional/short-path distillation
•	Crystallization
•	Blending

As part of ABF Ingredients, a division of Associated British Foods plc, we have the advantage of cooperative efforts with other ABF Ingredients companies and the ability to reach across the world to provide a broad spectrum of products for your specific needs.","Chemical Manufacturing","51-200 employees","Public Company","Columbus, OH","United States","abiteccorp.com","https://www.linkedin.com/company/abitec-corporation",,,,,
,"MicroCare, LLC","✅ MicroCare","MicroCare","MicroCare is the world’s leading manufacturer of high-performance fluids and tools for critical cleaning, coating and lubrication. 

MicroCare was established in 1983 to meet the electronics industry’s demands for better, faster and safer cleaning. Since then, we have grown into the global leader of environmentally-safe critical cleaning products. With manufacturing facilities in the U.S., Europe and Asia, our expert sales team serves customers in many industries including electronics, telecommunications, medical devices, aerospace and transportation.

MicroCare — Discover Perfectly Clean  

Key Markets 
•	Electronics - Products to improve cleaning of electronics equipment during rework and repair. 
•	Fiber Optics - Sticklers Fiber Optic Cleaners are the first choice for enterprise networks, telco central offices, data centers, cable head-ends and FTTH installations. 
•	Medical Devices - IS0-10993 registered for specialty cleaning, coating and lubricating fluids. 
•	Precision Cleaning - Large selection of vapor degreasing fluids engineered to clean specific soils and meet compliance standards.

MicroCare Corp. is a privately-held corporation based in New Britain, Connecticut, USA.  
ISO 9001 : 2008 Registered. ISO-10993 Registered.","Chemical Manufacturing","51-200 employees","Privately Held","New Britain, CT","United States","microcare.com","https://www.linkedin.com/company/microcare-corporation",,,,,
,"Independent Welding Distributors Cooperative","✅ Independent Welding Distributors Cooperative","Independent Welding Distributors Cooperative","We’re a cooperative that was formed in 1994 to leverage the strengths of independent welding distributor members across North America. 

IWDC Member companies serve a wide range of industries. The common denominator is that these industries look to us for industrial, specialty, and medical gases as well as related equipment, hard goods, and consumables. End-use customers served by our Members benefit from having the unparalleled expertise of a local Member distributor who has access to national-scale purchasing and marketing programs.","Chemical Manufacturing","201-500 employees","Non Profit","Indianapolis, In","United States","iwdc.coop","https://www.linkedin.com/company/independent-welding-distributors-cooperative",,,,,
,"gChem","✅ gChem","gChem","gChem, formerly Gaylord Chemical, is a leading provider of DMSO-based solutions.  With headquarters in Covington, Louisiana, and manufacturing facilities in Tuscaloosa, Alabama, gChem is dedicated to driving scientific innovation, upholding the highest standards of safety and sustainability, and attracting top talent to ensure continued excellence.","Chemical Manufacturing","51-200 employees","Privately Held","Covington, Louisiana","United States","gchemglobal.com","https://www.linkedin.com/company/gaylord-chemical",,,,,
,"Control Solutions, Inc.","✅ Control Solutions","Control Solutions","Control Solutions Inc. is a mid-sized, US-based specialty chemical manufacturer with a long-standing tradition of providing effective and economical solutions to our customers in the Pest Control, T&O, Consumer Products and Professional Animal Health Care markets.  

CSI is one of the fastest growing companies in the industry, and we are a subsidiary of ADAMA, the 5th largest Agricultural Chemical company in the world!  This thriving partnership enables us to not only offer the largest selection of products, but also to introduce innovative, differentiated products with combination chemistry and our exclusive access to the broadest array of Active ingredients in the industry!

CSI - Innovation You Can Apply","Chemical Manufacturing","51-200 employees","Public Company","Pasadena, Texas","United States","controlsolutionsinc.com","https://www.linkedin.com/company/control-solutions-inc-",,,,,
,"Lab Alley","✅ Lab Alley","Lab Alley","Lab Alley is the world’s largest provider of essential chemicals. We enable businesses to be successful by delivering natural, essential, and high-purity chemicals that meet all stringent compliance and industry standards. Lab Alley specializes in bulk and small pack sizes enabling customers to stay on-budget, on-time, every-time. Based in Austin, Texas, Lab Alley is a woman-owned business, serving nearly 100,000 customers throughout North America.
 Lab Alley is a 3x honoree of the Inc. 5000 list (2021-2023).
Lab Alley has been called the “Amazon of Chemicals” because we provide our customers with:
●	Robust online experience
●	The lowest prices in the market 
●	Well-stocked inventory 
●	Quick shipping
●	Awesome customer service

For a complete listing of our product portfolio please visit our website at http://www.laballey.com.","Chemical Manufacturing","11-50 employees","Privately Held","Austin, Texas","United States","laballey.com","https://www.linkedin.com/company/lab-alley",,,,,
,"P2 Science, Inc.","✅ P2 Science","P2 Science","We are the New Green Chemistry Company with a mission to de-carbonize the chemical industry, using the power of green chemistry.","Chemical Manufacturing","11-50 employees","Privately Held","Woodbridge, CT","United States","p2science.com","https://www.linkedin.com/company/p2-science-inc-",,,,,
,"Dallas Group of America, Inc.","✅ Dallas Group of America","Dallas Group of America","In 1959, entrepreneur Robert H. Dallas formed what was to become one of the larger privately-owned chemical companies in the United States. In 1989, a newly formed Dallas Group of America, Inc. was established as a spin-off and grew into a diversified manufacturer of basic and specialty chemicals.

The Dallas Group produces the highest quality MAGNESOL and DALSORB synthetic magnesium silicates, ammonium chloride, ammonium sulfate, and lignosulfonates and serves customers in more than 100 countries. The company operates multiple manufacturing and packaging facilities in North America, China, and Europe. 

The Dallas Group’s laboratories are staffed with degreed chemists, engineers, and technicians performing more than 50,000 tests each year to ensure that all products and raw materials meet specifications for quality and purity.  Selected staff routinely participate in the AOCS Approved Chemists Program and have been awarded Proficiency Program Winner status in AOCS’s NIOP Fats and Oils Program numerous times.

Our production facilities are GMP-certified, ensuring that our products are consistently produced and controlled according to quality standards.","Chemical Manufacturing","201-500 employees","Privately Held","Whitehouse, NJ","United States","dallasgrp.com","https://www.linkedin.com/company/dallas-group-of-america",,,,,
,"AI Technology, Inc.","✅ AI Technology","AI Technology","AI Technology, Inc. has more than 25 years of experience and success in helping military, aerospace, computer, and super-computer manufacturers with thermal compound and thermal interface materials for building some of the most reliable electronic devices and computers. Since pioneering the use of flexible epoxy technology for microelectronic packaging in 1985, AI Technology, Inc. has been one of the leading forces in development of patented applications of advanced material and adhesive solutions for electronic interconnection and packaging. The company continues to provide adhesive solutions for component and substrate bonding for both military and commercial applications. It's thermal interface material solutions of patented phase-change thermal pads, thermal grease and gels and thermal adhesives set many bench marks of performance and reliability for power semiconductor and modules, computer and communication electronics.","Chemical Manufacturing","51-200 employees","Privately Held","Princeton Junction, New Jersey","United States","aitechnology.com","https://www.linkedin.com/company/ai-technology-inc.",,,,,
,"Corrosion Innovations","✅ Corrosion Innovations","Corrosion Innovations","At Corrosion Innovations, we are dedicated to advancing asset integrity and maintenance across a variety of industrial sectors through our innovative surface preparation products and test kits. With a commitment to excellence, our suite of products includes ChlorRid, Corr-Ze, HoldTight, and ChlorRid test kits, all designed to deliver superior performance and reliability.

Our products are trusted across several industrial sectors, including but not limited to oil and gas, marine, infrastructure, and manufacturing. They play a crucial role in maintaining the integrity and longevity of valuable assets by providing superior surface preparation solutions.

We believe in the power of hands-on experience. That’s why we are pleased to offer onsite demonstrations of our products. Our team is ready to show you how our solutions can meet your specific needs and improve your maintenance processes.

For more information or to schedule a demo, visit our website at corrinnovations.com or contact us directly. Together, we can ensure your assets are protected and maintained to the highest standards.","Chemical Manufacturing","201-500 employees","Privately Held","Houston, Texas","United States","corrinnovations.com","https://www.linkedin.com/company/corrosion-innovations",,,,,
,"Ungerer & Company","✅ Ungerer &","Ungerer &","Ungerer & Company is a privately-owned company in the fragrance and flavor business. Family owned since 1893, Ungerer & Company is proud to have built their business based on longstanding and trusted partnerships with market leading brands.

Our multi-category expertise and our success in the design and development of fragrances and flavors from global brands to niche brands has aligned us as strategic olfactive & aroma partners to our clients- large, medium and small.

Our most recent successes are purely entrepreneurial pursuits. Creating licensing deals, generating new concepts, inventing new scent and taste experiences-we are utilizing our creative marketing teams and trend expertise to identify new business opportunities for the mutual success of Ungerer & Company and their clients.","Chemical Manufacturing","201-500 employees","Privately Held","Lincoln Park, New Jersey","United States","ungererandcompany.com","https://www.linkedin.com/company/ungerer-&-company",,,,,
,"CrudeChem Technology","✅ CrudeChem Technology","CrudeChem Technology","We are a specialty chemical manufacturer, distributor, and field service provider with a strong focus on low cost, high performance products. The impact CrudeChem has on our clients can be measured by the immediate cash savings and subsequent enhanced recovery from their flowing assets. We are specialized in HV Friction Reducers, completions chemicals, scale control, clay control, biocides, flowback, production chemicals, triazibes, corrosion controls, drag reducer, EOR, refrac, xanthan slurry, guar slurry, 

Why choose CrudeChem Technology?
-CrudeChem provides personal service, quality, and performance.  We have the capability to adapt and scale quickly to meet our customer’s needs.
-We innovate with our clients.  As a CrudeChem partner, you have access to our chemistry expertise for special projects.
-Your success is our success.  Through lean manufacturing and sourcing principles, our goal is to provide top tier performance at low tier prices. 
-Experience:  CrudeChem is led by a combined 60 years of operations, manufacturing, and R&D experience. Frac system packages include Slickwater, Hybrid, High Viscosity, and Crosslinked Gel systems.
-Manufacturing and Operations:  CrudeChem has been importing, blending, tolling, and delivering chemicals to the oilfield since 2016 while keeping costs low with strategic purchasing and inhouse, custom formulations.
-Safety:  ZERO HSE incidents.....
-Dependability:  On site and remote inventory management coupled with QA/QC delivers products on-time and on-spec.
-On-Site QA/QC Services
 In addition to providing chemical products, logistics, storage, and inventory management, CrudeChem’s complementary QA/QC program combines 
•	Pre-job compatibility testing with source waters,  
•	Real-time job monitoring of chlorides, specific gravity, pH, and viscosity for basic designs along with bug bottles every 10 stages to verify the efficacy of the biocide program.
•	We expand as needed for more technical designs to include break profiles and crosslink time/quality.
•	Post frac water and oil analysis, including acid gases","Chemical Manufacturing","11-50 employees","Privately Held","Brookshire, Texas","United States","crudechem.com","https://www.linkedin.com/company/crudechemtechnology",,,,,
,"Jost Chemical","✅ Jost Chemical","Jost Chemical","Jost Chemical Co. is an FDA Registered manufacturer of high purity inorganic specialty chemicals and minerals.  Jost follows bulk pharmaceutical cGMP and has validated processes for producing USP/NF/EP grade ingredients.  We manufacture  over 150 products and supply the pharmaceutical, biotech, nutritional and food markets.  Our products are as process intermediates in making drugs and as minerals in infant formula, nutritional supplements, toothpaste, etc.","Chemical Manufacturing","201-500 employees","Privately Held","Saint Louis, MO","United States","jostchemical.com","https://www.linkedin.com/company/jost-chemical-co-",,,,,
,"Lawter Inc.","✅ Lawter","Lawter","Lawter Inc. is part of the Harima Chemicals family, a company strong in pine chemicals and built on products developed using pine chemical resources. Today, Lawter serves the adhesives, graphic arts, specialty coatings, aroma chemicals and the synthetic rubber industries.  While our global headquarters is located in Chicago, IL we are a global organization with senior managers located in every region of the world.  
 
Lawter is a result of many highly successful businesses coming together over more than 60 years. Today, we are a highly successful global business operating in over 20 countries with 11 manufacturing and technology centers.

Our strength is built on innovative formulating technology, strategic raw material sourcing and our global network of manufacturing capabilities.  Our leading brands include EC0-REZ, SNOWTACK,  BUREZ,  SETAPRINT,  FILTREZ,  PINEREZ,  ECO-SET, ECO-WEB and many others bringing valuable solutions to the markets we serve.   

We value the contributions of our associates, our customers and our suppliers, in all that we do.  Collaborative innovation is critical to the future of our business and to the value our customers receive from Lawter.  We invite you to visit us at www.lawter.com","Chemical Manufacturing","501-1,000 employees","Privately Held","Chicago, Illinois","United States","lawter.com","https://www.linkedin.com/company/lawter-inc",,,,,
,"Atticus, LLC","✅ Atticus","Atticus","While the chemistry isn't unique, the Atticus experience is. Atticus is a demand-driven manufacturer of battle-tested chemistries, established in 2014 and built from the ground up with a clear purpose to Enhance Daily Life. Through our Agriculture and EcoCore portfolios, our team is committed to helping you maximize your input requirements with dependable solutions. As an independent company, we make decisions at your speed, executing each step with discipline to turn strategy into results you can trust. This focus allows us to consistently deliver on our value proposition: Relevant. Simple. Reliable. For more information and a complete list of products, visit AtticusLLC.com.","Chemical Manufacturing","51-200 employees","Privately Held","Cary, NC","United States","atticusllc.com","https://www.linkedin.com/company/atticus-llc",,,,,
,"TSE Industries","✅ TSE Industries","TSE Industries","TSE specializes in Urethane and Machined Plastic. A ISO 9001: 2015 certified manufacturer of plastic fabrication, Millathane millable polyurethane rubber, Thanecure reactive additives, and contract manufacturing of specialty chemicals including Coatings, Adhesives, Sealants, and Elastomers.

If it's Polymer, it's TSE!","Chemical Manufacturing","201-500 employees","Privately Held","Clearwater, Florida","United States","tse-industries.com","https://www.linkedin.com/company/tse-industries-inc",,,,,
,"FQE Chemicals","✅ FQE Chemicals","FQE Chemicals","At FQE Chemicals, we help our clients improve the efficiency, safety, and financial performance of their assets by creating innovative and unique chemistries that provide superior value and performance. Our clients benefit from reduced equipment downtimes, gain additional revenue from recovered sources, and realize significant savings on maintenance costs.
 
We’re a Company focused on innovation: we specialize in chemistry that solves specific engineering, environmental, safety, workflow, and economic issues at your facility. We approach the creation of our chemistries differently than our competitors. We first discern how problems arise, then reverse engineer those problems in order to reach a result that is both innovative and practical. We create paradigm-shifting chemistries because we have a unique perspective on their creation.","Chemical Manufacturing","11-50 employees","Privately Held","Deer Park, Texas","United States","fqechemicals.com","https://www.linkedin.com/company/fqe-chemicals",,,,,
