"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Council of Fashion Designers of America (CFDA)","The Council of Fashion Designers of America, Inc. (CFDA) is a not-for-profit trade association founded in 1962 with a membership of more than 350 of America’s foremost womenswear, menswear, jewelry, and accessory designers. Pillars include Diversity, Equity, and Inclusion through the IMPACT initiative, as well as Sustainability in Fashion. The organization provides its Members with timely and relevant thought-leadership and business development support. Emerging designers and students are supported through professional development programming and numerous grant and scholarship opportunities. In addition to hosting the annual CFDA Fashion Awards, the organization owns the Fashion Calendar and is the organizer of the Official New York Fashion Week Schedule. The CFDA Foundation, Inc. is a separate, not-for-profit organized to mobilize the membership to raise funds for charitable causes and engage in civic initiatives.","Retail Apparel and Fashion","11-50 employees","Non Profit","New York","United States","cfda.com","https://www.linkedin.com/company/council-of-fashion-designers-of-america-cfda-"
,"DRESSX","DRESSX is the largest digital fashion store that carries 3D clothing collections from most well-known contemporary brands born in the physical world and in the digital space.

We strongly believe that the amount of clothing produced today is way greater than humanity needs. We share the beauty and excitement that physical fashion creates, but we believe that there are ways to produce less, to produce more sustainably, and not to produce at all. At a current stage of DRESSX development, we aim to show that some clothes can exist only in their digital versions. Don't shop less, shop digital fashion.","Retail Apparel and Fashion","11-50 employees","Privately Held","Los Angeles","United States","dressx.com","https://www.linkedin.com/company/dressx"
,"abc","Enter your name and email address below for a chance to win a prom dress for yourself and a friend in ABC Fashion's first annual Share the Love Prom Dress Giveaway!

The Grand Prize package includes two prom dresses chosen by you from the ABC Fashion website and two $25 Sephora gift cards. (Up to $1200 total value!)

Second Prize is a gift card package that includes a $50 ABC Fashion gift card and a $25 Sephora gift card. ($75 total value)

Third Prize is a $25 ABC Fashion gift card. ($25 total value)

No one leaves empty-handed, though. Everyone who enters will receive a $10 Sephora gift card with any prom dress purchase at ABC Fashion.","Apparel and Fashion","11-50 employees","Public Company",,"United States","abc.com","https://www.linkedin.com/company/wicked-fashions-inc-southpole-bangladesh"
,"Cynthia Rowley","About Cynthia Rowley

Cynthia Rowley is a leading global lifestyle brand sold in over 60-freestanding collection boutiques, as well as in better department, specialty, and online stores worldwide. The Cynthia Rowley brand includes women’s ready-to-wear and related accessories. Additional categories include surf and swimwear for men and women. Our headquarters is based in New York City. For more information on Cynthia Rowley, please visit www.CynthiaRowley.com 

CAREERS

At Cynthia Rowley, we are a community of creative, smart, entrepreneurs who are passionate about what we do. We are always seeking exceptional talent to continue to build our brand. If you'd like to submit your resume to any one of our departments, please email us at careers@cynthiarowley.com.

INTERNSHIPS

We are always seeking interns! Our departments include: Design, Digital Marketing, Public Relations, Production, Sales and E-Commerce. Please contact us at: internship@cynthiarowley.com

Feel free to follow us on all our social media accounts!

Instagram: @CynthiaRowley","Apparel and Fashion","11-50 employees","Privately Held","New York","United States","cynthiarowley.com","https://www.linkedin.com/company/cynthia-rowley"
,"Universal Standard","We believe in FASHION FREEDOM for all of US. As we are.

When Universal Standard was just an idea, we spoke about the change we wanted to be – not just the brand we wanted to build. We wanted to create access in a way that has never been done before - with style, quality, and fit as our unwavering guideposts. We wanted to erase arbitrary lines of the past in favor of a future in which all women, regardless of size, could shop from the same rack. We wanted to manifest FASHION FREEDOM in a way that saw all of US, as we are, right now.

We are committed to pushing boundaries, leading with innovation, questioning established norms, saying “yes” and then making “yes” happen, being radically authentic, and banding together to build the future. We don’t think outside the box. We believe there is no box.

If you’re serious about changing the world, but don’t take yourself too seriously... If you have multiple hats, and aren’t scared to wear more than one… If you think fitting a square peg into a round hole sounds like fun… If you think good can always be great...

Join US.","Retail Apparel and Fashion","11-50 employees","Privately Held","New York, New York","United States","universalstandard.com","https://www.linkedin.com/company/universal-standard"
,"Norma Kamali Inc.","Norma Kamali began her business in 1967 as a shop owner making styles in her sample room, and selling from her retail store.

Her goal from that first day as an entrepreneur up until today was to have the freedom to be creative, and to use that creativity to design styles for women to make them feel good.

Norma Kamali is not just a designer. She is an innovator. An inventor. The sleeping bag coat, the high-heeled sneaker and the parachute collection are all iconic Kamali looks. In 1980, she was the first to present the innovative sweats and active sportswear collection as core parts of her brand, where they remain today. Her influential swimwear is recognized globally as highly directional and has remained an influence in the market for decades. The KamaliKulture collection of affordable styles are all easy care, require no dry cleaning and are great for travel and the modern lifestyle.

Norma is the 2016 recipient of CFDA's Geoffrey Beene Lifetime Achievement Award. She has won numerous awards for fashion, film, interior design, and architecture. She has also received honors from the White House for her work with public schools, and a wide assortment of pro-education organizations.  

The Wellness Café, the products in the cafe, as well as the information and guidance Norma provides her followers is another aspect of her connection to women. By informing women on topics that relate to self-esteem, and body image, she feels their confidence can develop. A healthy body translates to a healthy mind and spirit. This is an empowered woman.

Her Stop Objectification campaign focuses on the unique experiences a woman has regarding objectification - issues that affect women worldwide. Her goal is to rid women of the stigma left behind by those experiences.

http://brand.normakamali.com/chronoBio.html
https://www.instagram.com/normakamali/
Facebook: https://www.facebook.com/NormaKamali
Twitter: @normakamali https://twitter.com/normakamali","Apparel and Fashion","11-50 employees","Privately Held","New York, NY","United States","normakamali.com","https://www.linkedin.com/company/norma-kamali-inc."
,"Pair of Thieves","It used to be that if you were looking for affordable basics that offered performance and style, all you’d find was disappointment. Every sock on the market was a compromise. If you wanted fun patterned socks with cushioned support, you’d need to throw your dress socks over your sport socks. Rhetorically…who double bags their feet? We started Pair of Thieves to fix all that by creating basics that didn’t compromise on any of those fronts.

Our solution is to make our product and our customer Ready for Everything. We create basics so versatile, by comparison, a swiss army knife is a paper weight. On any given day you might go from work to workout, to night out, to lights out. We make sure our basics comfort and perform at every stop on that tour.

GOOD FITS

We’ve been fortunate to partner with charities and contribute in a big way to several causes. From helping people struggling with homelessness, to mental health outreach, to crisis intervention for LGBTQ+ youth. With the support of our customers, we have been able to help important organizations addressing these critical needs. 

We created The Pair of Thieves Good Fits Collection to provide great products that help amazing causes. We’re proud to donate money, product, and time in association with each of the causes tied to the Good Fits collection. To date we have…

• Donated over 3 million pairs of socks and other everyday essentials to charities addressing homelessness.
• Donated 50% of all Pride Collection proceeds to The Trevor Project for LQBTQ+ youth crisis intervention. Proud to donate $100,000 in 2022.
• Donated $2 from the sale of every pair of Never Alone socks to The American Foundation for Suicide Prevention.
• Donated $25,000 to Facing History and Ourselves an organization dedicated to fighting racism through educational programs.","Retail Apparel and Fashion","11-50 employees","Partnership","Culver City, California","United States","pairofthieves.com","https://www.linkedin.com/company/pair-of-thieves"
,"Jiffy.com","Jiffy.com is the #1 US online reseller of blank imprintable clothing. We launched over a decade ago with a clear mission: Use technology to combine an unparalleled level of customer service with the fastest delivery the blank apparel industry has ever seen.

Today, our team helps millions of creators, makers, and entrepreneurs bring their ideas to life with quality products and the materials to express their craft and grow their own businesses. Our focus on providing superior value and customer service remains as strong as ever. We’re continually delighted and inspired by the success of our customers! Visit us at jiffy.com.","Retail Apparel and Fashion","11-50 employees","Privately Held",,"United States","jiffy.com","https://www.linkedin.com/company/jiffy"
,"Invincible Force","Invincible Force is an Indian sporting goods manufacturer that was founded in 2016. The company sells athletic and casual apparel with a brand presence in the UK, Australia and the United States.

Our mission is to create high-quality, stylish apparel that empowers individuals to express their unique identities. 

_________________________________________________
2016 Invincible Force LLC 
𝗔𝗹𝗹 𝗥𝗶𝗴𝗵𝘁𝘀 𝗥𝗲𝘀𝗲𝗿𝘃𝗲𝗱.","Retail Apparel and Fashion","11-50 employees","Privately Held","West Hollywood, California","United States","invincibleforce.com","https://www.linkedin.com/company/iforceusa"
,"Apparel Impact Institute","The Apparel Impact Institute (AII) is collaboration of brands, manufacturers and industry associations – including the Sustainable Apparel Coalition (SAC), the Sustainable Trade Initiative (IDH), Target, PVH Corp., Gap and HSBC Holdings plc. - that have come together to select, fund and scale high-impact projects that dramatically and measurably improve the sustainability outcomes of the apparel and footwear industry. 

The AII is grounded in data collected by the Sustainable Apparel Coalition's Higg Index and is working under the framework of the UN Sustainable Development Goals (SDGs). The AII will identify promising projects within a particular focus area and apply the appropriate resources to help scale a solution.  For its first initiative the AII is focusing on mill improvement, one of the most environmentally impactful segments of clothing production. The AII was incorporated as a 501c(3) nonprofit organization in 2017.","Apparel and Fashion","11-50 employees","Non Profit","San Francisco, California","United States","apparelimpactinstitute.org","https://www.linkedin.com/company/apparel-impact-institute"
,"unspun","Our mission is to reduce global human carbon emissions by 1%. To get there, we've created the tools needed to realize zero-waste production and circular reuse— a future where nothing becomes trash. The world's first 3D weaving tech, transforming yarn into clothes in minutes.","Retail Apparel and Fashion","11-50 employees","Privately Held","San Francisco, California","United States","unspun.io","https://www.linkedin.com/company/unspun-"
,"Bad Birdie","Bad Birdie is a modern day golf apparel brand ushering in a new generation of players who prioritize a good game and a better time without compromising performance.","Retail Apparel and Fashion","11-50 employees","Privately Held","Scottsdale, AZ","United States","badbirdiegolf.com","https://www.linkedin.com/company/badbirdie"
,"DL1961","DL1961 is a premium essentials brand with roots in vertical integration. Offering elevated denim, knits, and ready-to-wear, for women, men, kids, and pets. They believe in meticulously crafted pieces designed to carry you through all of life’s stages.
 
In addition to their own low-impact factory, DL1961 strategically partners with sustainable manufacturers around the world to produce high quality essentials perfect for everyday wear. Named one of Fast Company’s Most Innovative Companies in 2023, this press-loved brand is a perennial favorite of editors and celebrities alike.

Learn more about DL1961 and shop the full styles and looks on DL1961.com 
@dl1961denim","Retail Apparel and Fashion","11-50 employees","Privately Held","New York, New York","United States","dl1961.com","https://www.linkedin.com/company/dl-1961-premium-denim"
,"Loeffler Randall","Loeffler Randall designs, markets, and sells footwear and accessories to a list of the world's leading retailers including Barneys New York, Bergdorf Goodman, Neiman Marcus and Saks Fifth Avenue both on and off-line. Loeffler Randall is carried in over 250 doors domestically and sells in over 20 international countries.

www.loefflerrandall.com
Twitter: @loefflerrandall
Instagram: loefflerrandall
Facebook: Loeffler Randall
Pinterest: loefflerrandall","Retail Apparel and Fashion","11-50 employees","Self Owned","New York, New York","United States","loefflerrandall.com","https://www.linkedin.com/company/loeffler-randall"
,"Tracksmith","Founded in Boston in 2014, Tracksmith is an independent running brand built on a deep love for the sport. We craft products, tell stories and create moments that enrich the running experience. We celebrate the amateur spirit and seek to inspire the personal pursuit of excellence. 

Our office and flagship retail store are located at 285 Newbury Street in Boston’s historic Back Bay neighborhood. We host group workouts for all ability levels on Tuesday (track session), Thursday (tempo run) and Sunday (long run), followed by recovery snacks and beverages on the roof deck. Our space is bright, airy and distinct, filled with ambitious and original thinkers. We’re always looking for great talent as we continue to grow the team.  

Applicants for open positions at Tracksmith should apply at tracksmith.com/pages/team. All communication with the Tracksmith hiring team will come directly from an @tracksmith.com email address. Please reach out to careers@tracksmith.com if you have any questions or concerns.","Apparel and Fashion","11-50 employees","Privately Held","Boston, MA","United States","tracksmith.com","https://www.linkedin.com/company/tracksmith"
,"Nicole Miller","NICOLE MILLER is a global fashion and lifestyle brand headquartered in New York City.  Founded in 1982, the iconic brand has grown to be one of the premier names in American fashion.  In addition to its Collection, Artelier, and Nicole Miller New York womenswear lines, the company has partnered with leading licensees in numerous lifestyle categories including accessories, men's, kid's, fragrance, beauty, and home. The brand can now be found online and in over 1500 specialty and department stores worldwide.","Retail Apparel and Fashion","11-50 employees","Privately Held","New York , NY","United States","nicolemiller.com","https://www.linkedin.com/company/nicole-miller"
,"Mara Hoffman","Mara Hoffman founded her eponymous label in the year 2000, directly after graduating from Parsons School of Design in New York City. Privately owned since then, and still headquartered in Manhattan, the lifestyle brand encompasses Women’s Ready to Wear and Swimwear.

Fifteen years after its start, Mara Hoffman began to focus on sustainable practices, now the at the core of the company’s mission. Hoffman, who serves as President and Creative Director, also uses her platform to share an honest and empowering message on the way we live, care for the world and treat others; hoping to influence the relationship society has with clothing while simultaneously fostering mindful consumption habits. 

Historically known for her signature prints and silhouettes, Hoffman’s compass today points toward simpler, textural pieces that accentuate the human form.  Above all, Hoffman keeps her creative commitment to presenting collections devoted to color, each a celebration of women.","Retail Apparel and Fashion","11-50 employees","Privately Held","New York, New York","United States","marahoffman.com","https://www.linkedin.com/company/mara-hoffman"
,"For Love & Lemons","Founded in 2011 by best friends Laura Hall and Gillian Rose Kern, For Love & Lemons was cultivated on the principles of confidence, femininity and individuality. It is for the woman unafraid to take risks, forge her own way and embrace a bit of adventure. 

Now offering six lines including Ready-to-Wear, SKIVVIES (lingerie), Knitwear, SWIM, Jewelry and Lil’ Lemons (children’s wear).","Retail Apparel and Fashion","11-50 employees","Privately Held","Los Angeles, California","United States","forloveandlemons.com","https://www.linkedin.com/company/for-love-lemons"
,"The Mayfair Group","Welcome to #MayfairWorld! 
We’re here to be your internet happy place through purposeful apparel, feel-good content, and an empowering digital community. We want to change the narrative around unrealistic societal standards, and celebrate the unfiltered human experience that connects us all. In our world- vulnerability is universal, empathy is critical, and authenticity is your superpower. At Mayfair, we’re not just building a brand, we’re building a legacy.
 
This mindset has been in our DNA since day one. Our CEO, Sam Abrahart, launched The Mayfair Group in 2017. After years of struggling with her mental health, she sought to create a more meaningful life through uplifting content and a digital safe space. We’re now focused on building out Mayfair as a global lifestyle brand. We believe apparel can be used as a catalyst for conversation and change. Our hope is through purposeful messaging and products, we can help people feel seen, heard, and understood for who they are. 

At Mayfair, we want to be the brand for everyone as we believe there is no age limit to the power of positivity. Our mission is to not just to make you look good, but help you FEEL good too. Join the brand that’s building a legacy. Everyone’s welcome in our world.","Retail Apparel and Fashion","11-50 employees","Privately Held","Scottsdale , AZ","United States","themayfairgroupllc.com","https://www.linkedin.com/company/themayfairgroup"
,"Pact","We're out to change the apparel industry for good.

Our super soft everyday apparel is made using non-GMO organic cotton in a transparent supply chain that improves the lives of farmers and workers.

You’ll not only feel good in Pact, but also feel good about how it’s made.","Retail Apparel and Fashion","11-50 employees","Privately Held","Boulder, CO","United States","wearpact.com","https://www.linkedin.com/company/pact-apparel"
,"Apparel Buyer Contact","We specialize in providing business and networking solutions for fashion companies through our extensive buyers database. Our database includes the contact details of apparel buyers collected directly from trade fairs, business events, and meetings by our agents and partners. We process, filter, and test all contact information before adding it to our main database, which enables us to develop segmented lists of buyers.

Our competitively-priced lists are designed to fit your budget and provide you with valuable opportunities to expand your company. It is important to note that having access to our database is just the first step; it is equally important to know how to convert these opportunities into real business deals.

Our importers lists offer contact information for buyers and importers from various regions, including Angola, Argentina, Australia, Austria, Bahrain, Belgium, Brazil, Canada, Chile, Colombia, Cuba, Cyprus, Denmark, Egypt, Ecuador, France, Germany, Ghana, Greece, Guatemala, Guiana, Hong Kong, Indonesia, Iran, Ireland, Israel, Italy, Japan, Jordan, Korea, Malaysia, Mali, Mexico, Netherlands, Nicaragua, Norway, Panama, Paraguay, Peru, Philippines, Poland, Portugal, Republica Dominicana, Russia, Singapore, South Africa, Spain, Sweden, Switzerland, Taiwan, Thailand, The Netherlands, Turkey, United Arab Emirates, United Kingdom, United States, Uruguay, and Venezuela.","Retail Apparel and Fashion","11-50 employees","Privately Held","New York, NY","United States","apparelbuyercontact.com","https://www.linkedin.com/company/apparelbuyercontact"
,"MATE the Label","Organic Essentials that are clean from seed to skin. 

We take a holistic approach to sustainability and consider the full life-cycle of our clothing with people and the planet in mind. We use the best in class natural fibers that are breathable, biodegradable and super soft. 

As featured in Forbes, Goop, Fast Company, Who What Wear and Vogue.","Retail Apparel and Fashion","11-50 employees","Privately Held","Los Angeles, CA","United States","matethelabel.com","https://www.linkedin.com/company/mate-the-label"
,"SIMKHAI","SIMKHAI designs for the elevated everyday with innovative techniques and timeless craftsmanship.

Founded in 2010 by designer JONATHAN SIMKHAI, the studio takes inspiration from architects and sculptors alike, blending progressive construction techniques with intimate hand-detailing to create truly special garments and lifestyle design. 

A 2015 winner of the prestigious CFDA/ Vogue Fashion Fund, the studio has earned recognition for its original silhouettes, quality constructions, and timeless elegance. 

SIMKHAI continues to nurture an inspired creative community around the brand’s  home in Los Angeles, sharing their designs and stories with women around the world who live artful, unapologetic lives.

Jonathan Simkhai honed his technical skills at Parsons School of Design and the Fashion Institute of Technology before launching his first womenswear line in New York City. An early inductee to the CFDA Incubator program, he quickly developed an eye for craft and quality. Today he leads the brand’s creative studio, drawing inspiration from his travels and the cities he and his husband call home.","Retail Apparel and Fashion","11-50 employees","Privately Held","West Hollywood, California","United States","simkhai.com","https://www.linkedin.com/company/jonathan-simkhai-inc"
,"madhappy","Madhappy is a Los Angeles-based clothing brand made for a community of optimists, born in 2017. Madhappy uses apparel, events, and experimental retail spaces – including its permanent flagship in West Hollywood – to explore a personal expression as a means to an improved state of mind. Its own seasonal stores – with past and present locations including New York City (Soho), Aspen, Miami, East Hampton, and Tokyo – are each designed to reflect their site, while still sharing the brand’s DNA. The brand currently produces a selection of ever-evolving, evergreen classic styles, seasonally available collections and collaborations. Madhappy supports research and awareness in mental health through The Madhappy Foundation (a 501c(3) non-profit) and writes Local Optimist, a print magazine. Each to celebrate us as works-in-progress, and the personal and collective expression that is a part of that.","Retail Apparel and Fashion","11-50 employees","Privately Held","Los Angeles, California","United States","madhappy.com","https://www.linkedin.com/company/madhappy"
,"TANYA TAYLOR","Tanya Taylor is a New York City based designer whose collections infuse classic sophistication with an artful femininity. Tanya Taylor is designed for an intelligent, confident and light-hearted woman who appreciates a careful balance of modern experimentation and traditional elegance.","Retail Apparel and Fashion","11-50 employees","Privately Held","New York, NY","United States","tanyataylor.com","https://www.linkedin.com/company/tanya-taylor"
,"Rachel Comey","Born outside of Hartford, Connecticut, Rachel Comey attended the University of Vermont as an art major with a focus on sculpture. After college, Comey moved to New York City to further pursue opportunities in the arts.Her earliest efforts in fashion came as costume designer for bands in the downtown music scene, earning her a place in the 2001 WhitneyBiennial.

In 2001, Comey launched her eponymous collection of menswear inspired by the young music scene in New York. Thanks to strong word of mouth, the collection proved a success, and she began to develop a loyal following.

By 2004 Comey had added womenswear and footwear to her burgeoning business. The women's collection quickly took off and developed its own grassroots following. Her collections became known for artful custom textiles, graceful modern silhouettes, and covetable footwear. The brand appeals to the intelligence and independence of her customers,who appreciate locally produced garments, thoughtful hand crafted details and an offbeat charm. All woven garments are made locally in midtown Manhattan while knitwear and footwear is made in Peru. 

The collection is stocked in many of the world's finest boutiques and department stores. In 2012, the online shop, rachelcomey.com was launched. In Spring 2014, the first Rachel Comey flagship store will open at 95 Crosby Street in New York, New York.","Retail Apparel and Fashion","11-50 employees","Privately Held","New York, NY","United States","rachelcomey.com","https://www.linkedin.com/company/rachel-comey"
,"CAKES body","It all started with a case of NFO (nipple freak out) on the treadmill next to my boss. Awkward.

So we went on a journey to design something better than the foam sports bra padding and sticky nipple covers. 

We launched our first product - CAKES covers, the first grippy not sticky nipple covers designed for workout & swim - to friends & family with a single Instagram post. We had no investors, no social media following, and really no idea what we were going to do next. 

Very quickly, we started hearing from women going through various body & boob changes (adolescents going through puberty, breast feeding moms, breast-cancer survivors) that CAKES made them feel FREE in their clothes for the first time in a long time. They were wearing CAKES to go braless altogether or as a complement to their bralettes, workout tops, and bodysuits that they were living in. 

These women illuminated a huge opportunity and a much deeper purpose than we originally intended…

Today, CAKES body is on a mission to make every day feel as free as a no bra day, creating comfortable alternatives to the traditional bra while giving back to women’s health causes. 

With the help of our customers, we have donated over $1 million to breast cancer research and we are just getting started!","Retail Apparel and Fashion","11-50 employees","Privately Held","Los Angeles, CA","United States","cakesbody.com","https://www.linkedin.com/company/cakes-body"
,"SYKY","SYKY is building a platform for the future of fashion. 

We believe that fashion is more than just clothing—it’s a powerful way of expressing who you are. The next generation of designers will be digital-first, revolutionizing design in digital, physical, and augmented worlds. SYKY is building at that intersection. 

We are a community for the next generation of designers, collectors, and those who love fashion. Our name is inspired by Psyche, the Goddess of the Soul in classical mythology, who has personified the quest for self-determination in poetry, art, psychology—and now, in technology.

Join us. careers@syky.com","Retail Apparel and Fashion","11-50 employees","Privately Held","New York, Brooklyn","United States","syky.com","https://www.linkedin.com/company/syky"
