"Find companies","legal_name","Normalize Company Name","company_name","Description","Primary Industry","Size","Type","hq_location","Country","domain","LinkedIn URL","Exports Status","Perplexity AI","Update People Search (Find people Table) - 2025-07-23T00:23:14.108Z","Update People Search (Find people Table) - 2025-07-23T05:01:32.416Z","Update People Search (Find people Table) - 2025-07-25T07:31:30.042Z"
,"Adco Cleaning Products LLC","✅ Adco Cleaning Products","Adco Cleaning Products","Adco is the maker and provider of dry cleaning products, solutions and chemicals.","Chemical Manufacturing","11-50 employees",,"Sedalia, Missouri","United States","adco-inc.com","https://www.linkedin.com/company/adco-cleaning-products-llc",,,,,
,"Sanitech Supply Inc","✅ Sanitech Supply","Sanitech Supply",,"Chemical Manufacturing","11-50 employees",,"Montgomery, AL","United States","sanitechclean.com","https://www.linkedin.com/company/sanitech-supply-inc",,,,,
,"Ventwin","✅ Ventwin","Ventwin","We produce high quality Thermoplastic Polyurethane. Our fims have high vapor permeability and water proof feature. They are mainly laminated for fibers of clothing. We can produce them in 0.015mm to 0.2mm thickness.","Chemical Manufacturing","11-50 employees","Government Agency","Yang-Ju, Gyung-Ki","United States","ventwin.com","https://www.linkedin.com/company/ventwin",,,,,
,"Solvox Manufacturing Co Inc","✅ Solvox Manufacturing Co","Solvox Manufacturing Co",,"Chemical Manufacturing","11-50 employees",,"Milwaukee, WI","United States",,"https://www.linkedin.com/company/solvox-manufacturing-co-inc",,,,,
,"Clean Machine Power Wash","✅ Clean Machine Power Wash","Clean Machine Power Wash","Clean Machine Power Wash is a power washing company based out of 224 Cold Spring Ave, West Springfield, Massachusetts, United States.

We clean houses and truck fleets","Chemical Manufacturing","51-200 employees","Self Owned","West Springfield, Massachusetts","United States","cleanmachinepowerwash.com","https://www.linkedin.com/company/clean-machine-power-wash",,,,,
,"Chemisolv Inc","✅ Chemisolv","Chemisolv",,"Chemical Manufacturing","11-50 employees",,"Waukesha, Wisconsin","United States",,"https://www.linkedin.com/company/chemisolv-inc",,,,,
,"Neste Resins Corp","✅ Neste Resins","Neste Resins",,"Chemical Manufacturing","11-50 employees",,"Andalusia, Alabama","United States",,"https://www.linkedin.com/company/neste-resins-corp",,,,,
,"FREEZETONE PRODUCTS, INC","✅ FREEZETONE PRODUCTS","FREEZETONE PRODUCTS",,"Chemical Manufacturing","11-50 employees",,"Miami, Florida","United States",,"https://www.linkedin.com/company/freezetone-products-inc",,,,,
,"Discount Powder Paint","✅ Discount Powder Paint","Discount Powder Paint","Discount Powder Paint offers a wide selection of quality powder coating products. We serve to provide you with high-quality powder coating paint. Working hand-in-hand with ElectroStatic Corp, our Minnesota based powder and liquid coating company, to supply excess and unused paint directly to consumers.","Chemical Manufacturing","11-50 employees","Privately Held","Plymouth, MN","United States","discountpowderpaint.com","https://www.linkedin.com/company/discount-powder-paint",,,,,
,"Anjum Corporation","✅ Anjum","Anjum",,"Chemical Manufacturing","11-50 employees",,"Corvallis, Oregon","United States",,"https://www.linkedin.com/company/anjum-corporation",,,,,
,"Bay Chemical Co","✅ Bay Chemical","Bay Chemical",,"Chemical Manufacturing","11-50 employees",,"Tampa, Florida","United States","baychemical.com","https://www.linkedin.com/company/bay-chemical-co",,,,,
,"Vogel Seed & Fertilizer, Inc.","✅ Vogel Seed & Fertilizer","Vogel Seed & Fertilizer",,"Chemical Manufacturing","51-200 employees",,"Jackson, Wisconsin","United States","springvalleyusa.com","https://www.linkedin.com/company/vogel-seed-&-fertilizer-inc.",,,,,
,"Superior Printing Inc","✅ Superior Printing","Superior Printing",,"Chemical Manufacturing","51-200 employees",,"Champlin, Minnesota","United States","superiorprintinginc.com","https://www.linkedin.com/company/superior-printing-inc",,,,,
,"Advance Maintenance","✅ Advance Maintenance","Advance Maintenance",,"Chemical Manufacturing","11-50 employees",,"Florence, SC","United States","advancedmaintenance.com","https://www.linkedin.com/company/advance-maintenance",,,,,
,"Edwards Chemicals Inc","✅ Edwards Chemicals","Edwards Chemicals",,"Chemical Manufacturing","11-50 employees",,"St Joseph, Missouri","United States","edwardschemicals.com","https://www.linkedin.com/company/edwards-chemicals-inc",,,,,
,"Soap Making Classes & More","✅ Soap Making Classes & More","Soap Making Classes & More","Soap Making Classes & More in Pacific Grove, CA (near Monterey, Santa Cruz, San Jose & the San Francisco Bay Area) offers small classes (online as well) & gift certificates for making personal-care & household products naturally: beginner's & advanced cold process bar soap, hot p","Chemical Manufacturing","11-50 employees",,"Pacifica, California","United States","soapmakingclassesandmore.com","https://www.linkedin.com/company/soap-making-classes-&-more",,,,,
,"Action Pharmacy","✅ Action Pharmacy","Action Pharmacy",,"Chemical Manufacturing","11-50 employees",,"Clarkston, Michigan","United States",,"https://www.linkedin.com/company/action-pharmacy",,,,,
,"Professional Pest Control Inc","✅ Professional Pest Control","Professional Pest Control",,"Chemical Manufacturing","11-50 employees",,"Columbus, Georgia","United States","profpestcontrol.com","https://www.linkedin.com/company/professional-pest-control-inc",,,,,
,"Unistar Chemical Inc.","✅ Unistar Chemical","Unistar Chemical","Based out of the Chicago metropolitan area, Unistar Chemical was founded to address the expanding demands of the international chemical industry. Since then, Unistar has been committed to offering high-performing, high-quality, and sustainable chemical products. Our expanding product line is a top producer of basic and intermediate chemicals consisting of industrial cleaners, solvents, foam-blowing agents, surfactants, and specialty goods with numerous applications.
Interested in more information? Contact us at: info@unistarchemical.com","Chemical Manufacturing","11-50 employees","Privately Held","Northbrook, Illinois","United States","unistarchemical.com","https://www.linkedin.com/company/unistar-chemical-inc",,,,,
,"ICI Fluoropolymers","✅ ICI Fluoropolymers","ICI Fluoropolymers",,"Chemical Manufacturing","11-50 employees",,"Downingtown, Pennsylvania","United States",,"https://www.linkedin.com/company/ici-fluoropolymers",,,,,
,"Benz Technology International, Inc","✅ Benz Technology International","Benz Technology International","Benztech is a consulting firm that provides expert experience in fluid mixing and agitation. Why use a consulting firm instead of doing mixer design and evaluating bids yourselves? It is more economical to retain the services of a firm such as ours than to keep a staff of in-house mixing experts, and it is better to use the talents of your in-house staff to do what they do best, such as process engineering and development.","Chemical Raw Materials Manufacturing","11-50 employees","Privately Held","Clarksville, Ohio","United States","benz-tech.com","https://www.linkedin.com/company/benz-technology-international-inc",,,,,
,"Blue Coral Systems","✅ Blue Coral Systems","Blue Coral Systems",,"Chemical Manufacturing","11-50 employees",,"Bedford, Texas","United States",,"https://www.linkedin.com/company/blue-coral-systems",,,,,
,"Great Western Chemical Co.","✅ Great Western Chemical","Great Western Chemical",,"Chemical Manufacturing","11-50 employees",,"Richmond, California","United States",,"https://www.linkedin.com/company/great-western-chemical-co-",,,,,
,"Saddlebrook Equestrian Center","✅ Saddlebrook Equestrian Center","Saddlebrook Equestrian Center",,"Chemical Manufacturing","11-50 employees",,"Schwenksville, PA","United States","saddlebrookstables.com","https://www.linkedin.com/company/saddlebrook-equestrian-center",,,,,
,"Mach I Inc","✅ Mach I","Mach I","We provide innovative products and services to the nano-structure, advanced materials,and aerospace industries.","Chemical Manufacturing","11-50 employees",,"King Of Prussia, Pennsylvania","United States","machichemicals.com","https://www.linkedin.com/company/mach-i-inc",,,,,
,"Virginia Fire Protection","✅ Virginia Fire Protection","Virginia Fire Protection",,"Chemical Manufacturing","11-50 employees",,"Springfield, Virginia","United States","vscfs.com","https://www.linkedin.com/company/virginia-fire-protection",,,,,
,"Disinfect Plus US","✅ Disinfect Plus US","Disinfect Plus US",,"Chemical Manufacturing","11-50 employees","Partnership","Doral, Florida","United States",,"https://www.linkedin.com/company/disinfect-plus-us",,,,,
,"Jlm International Inc","✅ Jlm International","Jlm International",,"Chemical Manufacturing","11-50 employees",,"Edisto Island, South Carolina","United States","lookchem.com","https://www.linkedin.com/company/jlm-international-inc",,,,,
,"We are A&Omega's, Revelation by Amdruméda Parfumerie L.L.C. Est. 2016","✅ We are A&Omega's, Revelation by Amdruméda Parfumerie L.L.C. Est. 2016","We are A&Omega's, Revelation by Amdruméda Parfumerie L.L.C. Est. 2016","Inspired by Revelation 5:8, 8:4. and 18:13 and lovely aromatherapy. AKA the ""ϗ""s *Kais* Corp. Parfumerie LLC. A&Omega's, (Corporation) Parfumerie LLC sales include scented oils Olive Oil based (in 4 ounces) with lovely bundles for our customers. Scents include masculine, candy, floral& more including cocoa and Shea fragrances! Bundles include silk and/or satin, comfy men's socks, incense holders, and more!! Physical locations in Lou. KY hold nice essential oil diffusers and the above products!!! Attached is the older site with current pricing and info. People love our products!","Chemical Manufacturing","51-200 employees","Partnership","Louisville, KY","United States",,"https://www.linkedin.com/company/we-are-alpha-and-omega-s-revelation-by-amdrumeda",,,,,
,"Cook Paint and Varnish Company","✅ Cook Paint and Varnish","Cook Paint and Varnish",,"Chemical Manufacturing","11-50 employees",,"KCMO, MO","United States",,"https://www.linkedin.com/company/cook-paint-and-varnish-company",,,,,
,"SGE HOLDINGS, INC","✅ SGE HOLDINGS","SGE HOLDINGS",,"Chemical Manufacturing","51-200 employees",,"Louisville, Kentucky","United States",,"https://www.linkedin.com/company/sge-holdings-inc",,,,,
,"Columbia Shipping Inc","✅ Columbia Shipping","Columbia Shipping",,"Chemical Manufacturing","11-50 employees",,"Jamaica, New York","United States","columbia-shipmanagement.com","https://www.linkedin.com/company/columbia-shipping-inc",,,,,
,"Allied Material Solutions","✅ Allied Material Solutions","Allied Material Solutions","We offer a wide range of abrasive materials (SiC, Alumina, B4C, Diamond, formulated compounds) and polishing accessories that are aimed at decreasing processing times while elevating customer experience.

Our three core principals are: provide state-of-the art product performance, find innovative solutions to technical challenges, and build lasting relationships with customers, employees and community through sustainability, reliability and trust.","Chemical Manufacturing","11-50 employees","Privately Held","Hanover, Maryland","United States","alliedmaterialsolutions.com","https://www.linkedin.com/company/allied-material-solutions",,,,,
,"ICI Paint","✅ ICI Paint","ICI Paint",,"Chemical Manufacturing","11-50 employees",,"Wilkes Barre, Pennsylvania","United States",,"https://www.linkedin.com/company/ici-paint",,,,,
,"Irrh North America","✅ Irrh North America","Irrh North America","IRRH Specialty Chemicals India Limited has been producing functional plastics additives, thickeners, lubricants and releasing agents with its indigenous technology and has been leading the specialty chemical market with its superior technical expertise.
Based on accumulated technical expertise and excellent research
capability, we are creating new products for the 21st century.We always strive to provide our customers complete satisfaction and try to impress them with our innovative products and services, at all times.We, research and develop novel products and technology continuously. Also we promise to develop and provide quality solutions for your additive queries always.","Chemical Raw Materials Manufacturing","11-50 employees","Privately Held","Frackville, Pennsylvania","United States","irrhusa.com","https://www.linkedin.com/company/irrh-specialty-chemicals",,,,,
,"Smith Ecological Systems","✅ Smith Ecological Systems","Smith Ecological Systems","Smith Ecological Systems was founded over 30 years ago to provide quality products and services to meet the growing demand for new chemical feed system solutions.

We are proud of the reputation we have earned over the years for reliability and expertise.

Whether designing a new system, upgrading an existing one or just keeping the old one running,  Smith Ecological Systems can help!","Chemical Manufacturing","11-50 employees","Public Company","Rockford, IL","United States","smithecological.com","https://www.linkedin.com/company/smith-ecological-systems",,,,,
,"Patriot Chemicals","✅ Patriot Chemicals","Patriot Chemicals",,"Chemical Manufacturing","11-50 employees",,"Baton Rouge, Louisiana","United States","patriotchemicalsllc.com","https://www.linkedin.com/company/patriot-chemicals",,,,,
,"Advanced Chemical Solutions","✅ Advanced Chemical Solutions","Advanced Chemical Solutions","Advanced Chemical Solutions provides a unique combination of high-performance chemical products with dependable routine service. With leading chemical programs and knowledgeable techs, ACS provides customers, across various industries, with fast-acting and reliable coverage.","Chemical Manufacturing","11-50 employees","Self Owned","Billings, Montana","United States","acsmt.com","https://www.linkedin.com/company/advanced-chemical-solutions",,,,,
,"Plascom Corp","✅ Plascom","Plascom",,"Chemical Manufacturing","11-50 employees",,"Elizabethtown, Kentucky","United States","plascongroup.com","https://www.linkedin.com/company/plascom-corp",,,,,
,"Young Plumbing & Heating Co","✅ Young Plumbing & Heating","Young Plumbing & Heating",,"Chemical Manufacturing","11-50 employees",,"Waterloo, IA","United States","youngphc.com","https://www.linkedin.com/company/young-plumbing-&-heating-co",,,,,
,"American Dispersions, Inc.","✅ American Dispersions","American Dispersions","American Dispersions, Inc. is a family owned and operated business established in 1979 and based in Louisville, Kentucky USA. Being a family business we pride ourselves in putting “people first”. We have embraced building long term relationships with our customers, our employees and our vendors. We are fortunate that from the very beginning our customers, vendors and employees have supported our vision to produce high quality products in a family “people first” atmosphere. We have employees that have been with our company for over 30 years which speaks volumes about our culture and approach to doing business. It’s all about the people, it’s basically in our DNA!

As we have grown we have supported our customer’s expansions into global markets and continue to established business relationships worldwide. We have successfully sold our ADDIOX products to multiple customers on five continents.

Please allow us the opportunity to assist you with your “Aqueous Based Solutions”.

*ADDIOX is a registered trademark of American Dispersions, Inc.","Chemical Raw Materials Manufacturing","11-50 employees","Privately Held","Louisville, Kentucky","United States","americandispersions.com","https://www.linkedin.com/company/americandispersionsinc",,,,,
,"Silbond Corporation","✅ Silbond","Silbond",,"Chemical Manufacturing","11-50 employees",,"Weston, Michigan","United States","silbond.com","https://www.linkedin.com/company/silbond-corporation",,,,,
,"SunRay Scientific Z TACH","✅ SunRay Scientific Z TACH","SunRay Scientific Z TACH","SunRay Scientific (SRS) is a supplier of advanced materials for printed electronics manufacturing and lead free packaging. The company’s key focus is the advancement of green electronics with clean chemistry, which includes development of conductive inks, epoxies and anisotropic conductive adhesives that minimize waste, eliminate use of lead, and reduce carbon footprint in electronics manufacturing.

About ZTACH

    - Bio-compatible (lead free)
    - Fine pitch process (50 micron pad gaps) without additional patterning for individual I/O pads bonding during chip assembly
    - Low temperature process (as low as 70°C)
    - Eliminates the need for underfill in flip chip bonding
   -  Provides excellent thermal conductivity (> 4.5 W/mK) across the entire bond surface
    - Small bond thickness (as low as 15 microns)","Chemical Manufacturing","11-50 employees","Privately Held","Mt Laurel, NJ","United States","sunrayscientific.com","https://www.linkedin.com/company/sunray-scientific-z-tach",,,,,
,"NX Industrial & Facility Supplies Group","✅ NX Industrial & Facility Supplies","NX Industrial & Facility Supplies","NX Industrial and Facilities Supply Group has been serving customers on a national level since 2004. Since June 2015, Australis1623, Inc. and its subsidiaries (NXKEM USA, LLC and NXTEC USA, LLC) have been operating out of our new corporate office in Norcross, GA. The move supports our longer term growth initiatives, has placed us closer to our supplier base and affords our Home Office employees the amenities a world class city such as Atlanta has to offer!  

NXKEM USA, LLC is a specialty chemical manufacturer and distributor serving the MRO industry with high quality formulations and a national presence through our independent sales professionals.

Our representatives and internal staff are eager to help you find the ""Perfect Solution"" for all of your maintenance and cleaning needs. Feel free to contact us with any request or questions at our toll free number, 1-866-992-9729. We would be honored to have one of our team members stop in and introduce you to NXKEM and our extensive product line.

Our service and commitment to our customers is second to none. Orders are processed the day they are received, with the shipments and invoices following within a few days. Our customers enjoy the benefit of having a representative with state-of-the-art technology to aid in order fulfillment. We provide you with the ability to purchase and re-order from your account on our website, with previous purchase history, invoice copies, shipment tracking information and other functions. NxKem provides you access to over 1 million high quality industrial and facility supply products.","Chemical Manufacturing","51-200 employees","Privately Held","Atlanta, Georgia","United States","nxkem.com","https://www.linkedin.com/company/nx-industrial-and-facility-supplies-group",,,,,
,"Calhoun Plastics and Chemicals, Inc.","✅ Calhoun Plastics and Chemicals","Calhoun Plastics and Chemicals","Calhoun Plastics and Chemicals, Inc. is a chemicals company based out of 1139 NEWTOWN LOOP NE, Calhoun, Georgia, United States.","Chemical Manufacturing","11-50 employees","Privately Held","Calhoun, Georgia","United States","calhounplastics.com","https://www.linkedin.com/company/calhoun-plastics-and-chemicals-inc.",,,,,
,"Industrial H2o Inc","✅ Industrial H2o","Industrial H2o",,"Chemical Manufacturing","11-50 employees",,"S San Francisco, California","United States","industrial-h2o.com","https://www.linkedin.com/company/industrial-h2o-inc",,,,,
,"K L Chempak","✅ K L Chempak","K L Chempak",,"Chemical Manufacturing","11-50 employees",,"Philadelphia, Pennsylvania","United States",,"https://www.linkedin.com/company/k-l-chempak",,,,,
,"DSP USA","✅ DSP USA","DSP USA","Exclusive patent holder of the EcoZ system for both consumer and professional use.","Chemical Manufacturing","11-50 employees","Self Owned","Delaware","United States","dspus.info","https://www.linkedin.com/company/dsp-us",,,,,
,"LaRoche Industries Inc.","✅ LaRoche Industries","LaRoche Industries",,"Chemical Manufacturing","11-50 employees",,"Atlanta, GA","United States",,"https://www.linkedin.com/company/laroche-industries-inc-",,,,,
,"Dow Hydrocarbons and Resources LLC","✅ Dow Hydrocarbons and Resources","Dow Hydrocarbons and Resources",,"Chemical Manufacturing","11-50 employees",,"Houston, Texas","United States",,"https://www.linkedin.com/company/dow-hydrocarbons-and-resources-llc",,,,,
,"Preventive Technology, Inc.","✅ Preventive Technology","Preventive Technology","Preventive Technology Inc. is a five year old start up company that is now marketing a recently patented chemical product, Pre-Tec 3000.
 Pre-Tec 3000  is designed to treat all of the following, (but not limited to):
 * wood; lumber
 * engineered wood products
 * any natural fiber product: cellulose, (wood, cotton, flax, bamboo, hemp, straw, etc)
 *  Synthetic/natural blended fiber
 * most synthetic fiber
 *** Pre-Tec 3000 treatment includes the following benefits:****
 * Class ""A"" Fire retardant rating
 * Mold/Mildew inhibition
 * Insect resistance
 * Moisture/weatherization barrier.
 * Environmentally preferred, ""GREEN"" product containing no VOC, (volatile organic compounds). MSDS rated as non hazardous chemical. Requires no special handling or storage. 
 * Shipped as a clear, odorless liquid or as a dry powder that easily mixes in any potable water.","Chemical Manufacturing","11-50 employees","Privately Held","Greenville, SOuth Carolina","United States","pre-tec3000.com","https://www.linkedin.com/company/preventive-technology-inc.",,,,,
,"Chemical Brothers","✅ Chemical Brothers","Chemical Brothers",,"Chemical Manufacturing","11-50 employees",,"San Diego, California","United States","thechemicalbrothers.com","https://www.linkedin.com/company/chemical-brothers",,,,,
,"BEAVER RESEARCH COMPANY","✅ BEAVER RESEARCH","BEAVER RESEARCH",,"Chemical Manufacturing","11-50 employees",,"PORTAGE, Michigan","United States","beaverresearch.com","https://www.linkedin.com/company/beaver-research-company",,,,,
,"Alcoa Flexible Packaging","✅ Alcoa Flexible Packaging","Alcoa Flexible Packaging","A global leader in lightweight metals technology, engineering and manufacturing, Alcoa innovates multi-material solutions that advance our world.","Chemical Manufacturing","51-200 employees",,"Momence, Illinois","United States","alcoa.com","https://www.linkedin.com/company/alcoa-flexible-packaging",,,,,
,"C & E SERVICES, INC.","✅ C & E SERVICES","C & E SERVICES",,"Chemical Manufacturing","51-200 employees",,"VIENNA, Virginia","United States","chemengineering.com","https://www.linkedin.com/company/c-&-e-services-inc.",,,,,
,"SanitizersPlus","✅ SanitizersPlus","SanitizersPlus","Sanitizers Plus is the nation’s premier supplier of EPA-approved sanitizers, disinfectants, wipes, cleaners and sanitizing equipment. From ready-to-use and concentrates to private labeled and name brands, we supply everything and anything in sanitizers and disinfectants in a wide variety of sizes from one ounce to 55-gallon containers. We provide a variety of best-in-class products and partner with premier manufacturers, including Armchem International and Victory Innovations Electrostatic Sprayers.","Chemical Manufacturing","11-50 employees","Privately Held","Pompano Beach, FL","United States","sanitizersplus.com","https://www.linkedin.com/company/sanitizersplus",,,,,
,"Baikowski International Corp","✅ Baikowski International","Baikowski International",,"Chemical Manufacturing","11-50 employees",,"Charlotte, North Carolina","United States","baikowski.com","https://www.linkedin.com/company/baikowski-international-corp",,,,,
,"LAMPIRE BIOLOGICAL LABS, INC.","✅ LAMPIRE BIOLOGICAL LABS","LAMPIRE BIOLOGICAL LABS",,"Chemical Manufacturing","51-200 employees",,"Ottsville, Pennsylvania","United States",,"https://www.linkedin.com/company/lampire-biological-labs-inc.",,,,,
,"CO2 Air","✅ CO2 Air","CO2 Air","CO2 Air is a regional CO2 distributor with a geographic footprint in Alabama, Florida, Georgia, Mississippi, North Carolina, South Carolina, and Tennessee.","Chemical Manufacturing","51-200 employees","Privately Held","Cumming, Georgia","United States","co2airinc.com","https://www.linkedin.com/company/co2-air",,,,,
,"Combiphos Catalysts Inc","✅ Combiphos Catalysts","Combiphos Catalysts",,"Chemical Manufacturing","11-50 employees",,"Princeton, New Jersey","United States","combiphos.com","https://www.linkedin.com/company/combiphos-catalysts-inc",,,,,
,"Better Home Products","✅ Better Home Products","Better Home Products","Decorative and functional hardware products; Locksets, Bathroom Accessories and Misc. Door and Closet Hardware items.","Chemical Manufacturing","11-50 employees",,"Columbus, Ohio","United States","betterhomeproducts.com","https://www.linkedin.com/company/better-home-products",,,,,
,"RUMFOLA Sales & Distribution","✅ RUMFOLA Sales & Distribution","RUMFOLA Sales & Distribution","RUMFOLA Sales and Distribution is your sales team and local warehousing for hire.  We focus on the Chemical industry, but would be willing to discuss other markets. 

Don’t let others limit your capabilities,
With RUMFOLA Distribution you have infinite possibilities.","Chemical Manufacturing","11-50 employees","Privately Held","Fullerton, California","United States","rumfolachem.com","https://www.linkedin.com/company/rumfola-sales-distribution",,,,,
,"AZ Chemicals","✅ AZ Chemicals","AZ Chemicals",,"Chemical Manufacturing","11-50 employees",,"Fremont, California","United States","azchemicals.com","https://www.linkedin.com/company/az-chemicals",,,,,
,"Carbon Nanotechnologies Inc","✅ Carbon Nanotechnologies","Carbon Nanotechnologies",,"Chemical Manufacturing","11-50 employees",,"Houston, Texas","United States",,"https://www.linkedin.com/company/carbon-nanotechnologies-inc",,,,,
,"Regency Plastics - Ubly, Inc.","✅ Regency Plastics","Regency Plastics",,"Chemical Manufacturing","11-50 employees",,"Ubly, Michigan","United States",,"https://www.linkedin.com/company/regency-plastics---ubly-inc.",,,,,
,"Epoxyn Products, LLC","✅ Epoxyn Products","Epoxyn Products",,"Chemical Manufacturing","11-50 employees",,"Mountain Home, AR","United States","epoxyn.com","https://www.linkedin.com/company/epoxyn-products-llc",,,,,
,"OCI Peroxygens LLC","✅ OCI Peroxygens","OCI Peroxygens","Welcome to OCI PEROXYGENS, an industry leader in the manufacturing and marketing of sodium percarbonate. Located in Decatur, Alabama.","Chemical Manufacturing","51-200 employees",,"Decatur, Alabama","United States","ociperoxygens.com","https://www.linkedin.com/company/oci-peroxygens-llc",,,,,
,"Robert Shaw Controls Co","✅ Robert Shaw Controls","Robert Shaw Controls",,"Chemical Manufacturing","11-50 employees",,"Long Beach, California","United States",,"https://www.linkedin.com/company/robert-shaw-controls-co",,,,,
,"Marble Engineering","✅ Marble Engineering","Marble Engineering","Marble Engineering Co. integration control service for the automation production and industrial machinery industries.","Chemical Manufacturing","51-200 employees","Public Company","Bridgeton, New Jersey","United States",,"https://www.linkedin.com/company/marble-engineering",,,,,
,"International Tool Care","✅ International Tool Care","International Tool Care","International Tool Care offers Premium MetalWorking Fluids and Lubricants at affordable prices. Our Fluids and Lubricants are formulated to outperform the competition. We provide complete sales and technical support for all of our MetalWorking Fluids and Lubricants. Our highly knowledgeable Sales Team has a no pressure, no nonsense reputation. 
International Tool Care is steadily building a reputation of excellence, one customer at a time.

Check out our new website (2016), with an online store.","Chemical Manufacturing","11-50 employees","Privately Held","angola, in","United States","internationaltoolcare.com","https://www.linkedin.com/company/international-tool-care",,,,,
,"Chem and Lube","✅ Chem and Lube","Chem and Lube","Providing lubrication and blended maintenance chemicals designed for heavy industry. A variety of greases and oils, each blended for your particular application. New technology and professional staff.","Chemical Manufacturing","11-50 employees",,"Allentown, Pennsylvania","United States","chemandlube.com","https://www.linkedin.com/company/chem-and-lube",,,,,
,"VOLUNTARY PURCHASING GROUPS, INC","✅ VOLUNTARY PURCHASING GROUPS","VOLUNTARY PURCHASING GROUPS","ferti•lome, Hi-Yield and Natural Guard by ferti•lome offer a complete line of weed killers, plant foods, insecticides, fungicides, and potting soil.","Chemical Manufacturing","51-200 employees",,"Bonham, Texas","United States","fertilome.com","https://www.linkedin.com/company/voluntary-purchasing-groups-inc",,,,,
,"Rodel Inc","✅ Rodel","Rodel",,"Chemical Manufacturing","201-500 employees",,"Phoenix, Arizona","United States",,"https://www.linkedin.com/company/rodel-inc",,,,,
,"First On Site LLC","✅ First On Site","First On Site",,"Chemical Manufacturing","51-200 employees",,"Barbourville, Kentucky","United States",,"https://www.linkedin.com/company/first-on-site-llc",,,,,
,"Khoshchasb Chemical Production Co","✅ Khoshchasb Chemical Production","Khoshchasb Chemical Production","Khoshchasb Chemical  Production  Company as the first producer of all kinds of adhesives, resins  and paints  in the south of Iran was borned in 1981. It began production of water based adhesives for wood, bookbinding, carton, label and etc.
The company began production of solvent based adhesives for shoes, leather, gasket, carpet installing and PVC pipe in 1985.
Since 1996 the company expanded the range of its products to emulsion resins such as Polyvinyl acetate resins including Homopolymers, Copolymers and Terpolymers.
Khoshchasb Chemical Pro Co. with 33 years of experience in production of variety of resins is ready to meet your requirments.
Please trust the quality of our products.
According  to demand of industries, the company produces Acrylic emulsion resins for use in the construction industry , indoor and outdoor paints, waterproof insulation and textile industry.
Also  Khoshchasb Chemical Company is ready for producing all kinds of water born resins as demand of customers.","Chemical Manufacturing","11-50 employees","Public Company","kerman","United States","khoshchasb.com","https://www.linkedin.com/company/khoshchasb-company",,,,,
,"National Casein Co Inc","✅ National Casein Co","National Casein Co",,"Chemical Manufacturing","11-50 employees",,"Chicago, Illinois","United States","nationalcasein.com","https://www.linkedin.com/company/national-casein-co-inc",,,,,
,"Sanchem Inc","✅ Sanchem","Sanchem","About Sanchem, Inc.

At Sanchem, we’ve been solving corrosion challenges from the heart of Chicago for over 70 years. Specializing in rust preventatives and corrosion-resistant coatings, we help utilities, transit systems, OEMs, and infrastructure providers extend the life of critical metal components—even in the harshest environments.

Our flagship products are trusted by engineers and maintenance teams across North America for their reliability, ease of application, and long-term protection. Whether it’s safeguarding electrical enclosures, transit systems, heavy equipment, or water infrastructure—Sanchem delivers industrial-strength solutions that last.

As a family-owned and operated business, we combine decades of experience with hands-on customer support and practical innovation. When performance matters, professionals turn to Sanchem.","Chemical Manufacturing","11-50 employees","Privately Held","Chicago, IL","United States","sanchem.com","https://www.linkedin.com/company/sanchem-inc",,,,,
,"Working Solution Inc.","✅ Working Solution","Working Solution","Working Solutions, Inc. is a formulator of specialty chemicals for the industrial cleaning, metal finishing, and heavy industrial maintenance markets.  After many years of experience in this field, the Company was founded in July 1991, by Jay Davis in Houston, Texas.  Mr. Davis, being Chairman of the Company, is a Chemical Engineer from Texas A&M University and is also a Registered Environmental Manager (National Registry of Environmental Professionals, NREP).  Working Solutions offers formulated products produced at the Houston plant, technical sales expertise, metal cleaning and finishing equipment and environmental consulting to a global marketplace.  Working Solutions' research and development efforts continue to earn us new business and our formulary includes hundreds of effective and environmentally sensitive products.  Please contact Working Solutions, Inc. for further information about our exciting new chemical products and energy efficient equipment capabilities.","Chemical Manufacturing","11-50 employees","Privately Held","Houston, Texas","United States","workingsolutions.net","https://www.linkedin.com/company/workingsolutions",,,,,
,"Red Bird Supply Inc","✅ Red Bird Supply","Red Bird Supply",,"Chemical Manufacturing","11-50 employees",,"Tulsa, Oklahoma","United States","redbirdproducts.com","https://www.linkedin.com/company/red-bird-supply-inc",,,,,
,"Quantum Coatings","✅ Quantum Coatings","Quantum Coatings",,"Chemical Manufacturing","11-50 employees",,"Excelsior, Minnesota","United States",,"https://www.linkedin.com/company/quantum-coatings",,,,,
,"Bell Chemical Co","✅ Bell Chemical","Bell Chemical",,"Chemical Manufacturing","11-50 employees",,"Albany, Georgia","United States",,"https://www.linkedin.com/company/bell-chemical-co",,,,,
,"Metal Junction Inc","✅ Metal Junction","Metal Junction",,"Chemical Manufacturing","11-50 employees",,"Baden, Pennsylvania","United States","metaljunction.com","https://www.linkedin.com/company/metal-junction-inc",,,,,
,"McKendree Village Inc","✅ McKendree Village","McKendree Village",,"Chemical Manufacturing","51-200 employees",,"Hermitage, Tennessee","United States",,"https://www.linkedin.com/company/mckendree-village-inc",,,,,
