"Find companies","legal_name","Normalize Company Name","company_name","Description","Primary Industry","Size","Type","hq_location","Country","domain","LinkedIn URL","Exports Status","Perplexity AI","Update People Search (Find people Table) - 2025-07-23T00:23:14.108Z","Update People Search (Find people Table) - 2025-07-23T05:01:32.416Z","Update People Search (Find people Table) - 2025-07-25T07:31:30.042Z"
,"CHICAGO ANODIZING","✅ CHICAGO ANODIZING","CHICAGO ANODIZING","Since 1947, Chicago Anodizing has been a leading supplier of Anodized finishes worldwide.  Our mission is to supply our customers with the most durable and cosmetically appealing finishes for their aluminum products.  Chicago Anodizing targets customers looking for high volume capabilities, repeatable processes and color matching. 

Our state of the art bright dipping line, selection of colors and custom color capabilities, and our expertise in anodic coatings, helps us secure finishes that wholly separate us from our competition.   With over 60 years of experience in metal finishing, Chicago Anodizing gives it's customer's confidence in their critical supplier.","Chemical Manufacturing","51-200 employees","Privately Held","CHICAGO, IL","United States","chicagoanodizing.com","https://www.linkedin.com/company/chicago-anodizing",,,,,
,"Ethox Chemical Inc","✅ Ethox Chemical","Ethox Chemical",,"Chemical Manufacturing","11-50 employees",,"Greenville, SC","United States","ethox.com","https://www.linkedin.com/company/ethox-chemical-inc",,,,,
,"Agrevo Environmental","✅ Agrevo Environmental","Agrevo Environmental",,"Chemical Manufacturing","11-50 employees",,"Houston, Texas","United States",,"https://www.linkedin.com/company/agrevo-environmental",,,,,
,"HARPER/LOVE ADHESIVES CORPORATIO","✅ HARPER/LOVE ADHESIVES CORPORATIO","HARPER/LOVE ADHESIVES CORPORATIO",,"Chemical Manufacturing","51-200 employees",,"Charlotte, North Carolina","United States",,"https://www.linkedin.com/company/harper-love-adhesives-corporatio",,,,,
,"Alexis Oil Co","✅ Alexis Oil","Alexis Oil",,"Chemical Manufacturing","11-50 employees",,"Corona, California","United States","alexisoil.com","https://www.linkedin.com/company/alexis-oil-co",,,,,
,"THE BLAKESTON CORPORATION","✅ THE BLAKESTON","THE BLAKESTON",,"Chemical Manufacturing","11-50 employees",,"Saint Matthews, South Carolina","United States",,"https://www.linkedin.com/company/the-blakeston-corporation",,,,,
,"Carbon Dioxide Sales","✅ Carbon Dioxide Sales","Carbon Dioxide Sales",,"Chemical Manufacturing","11-50 employees",,"Grand Rapids, Michigan","United States",,"https://www.linkedin.com/company/carbon-dioxide-sales",,,,,
,"Burtin Polymer Laboratories, Inc.","✅ Burtin Polymer Laboratories","Burtin Polymer Laboratories","We are devoted to producing advanced polyurethanes for a wide variety of industries and applications.","Chemical Manufacturing","11-50 employees",,"Cartersville, Georgia","United States","burtinlabs.com","https://www.linkedin.com/company/burtin-polymer-laboratories-inc.",,,,,
,"Metro Professional Products, Inc","✅ Metro Professional Products","Metro Professional Products",,"Chemical Manufacturing","11-50 employees",,"Carol Stream, Illinois","United States","metroprof.com","https://www.linkedin.com/company/metro-professional-products-inc",,,,,
,"Crane Plastics Holding Company","✅ Crane Plastics Holding","Crane Plastics Holding",,"Chemical Manufacturing","51-200 employees",,"Columbus, Ohio","United States",,"https://www.linkedin.com/company/crane-plastics-holding-company",,,,,
,"CARDINAL CHEMICALS, INC.","✅ CARDINAL CHEMICALS","CARDINAL CHEMICALS",,"Chemical Manufacturing","51-200 employees",,"KINSTON, North Carolina","United States","cardinalturf.com","https://www.linkedin.com/company/cardinal-chemicals-inc.",,,,,
,"TSS Chemical","✅ TSS Chemical","TSS Chemical","We specialize in helping oil & gas companies lower and eliminate emissions. The unique chemistry we offer can permanently eliminate H2S, lower CO2, and completely remove single, double, and triple-bonded mercaptans. This can be accomplished in both crude and natural gas streams.","Chemical Manufacturing","11-50 employees","Privately Held","Baton Rouge, Louisiana","United States","tsschemical.com","https://www.linkedin.com/company/tss-chemical",,,,,
,"Norian Group Inc","✅ Norian Group","Norian Group","With Norian | Nice powder create good pieces! 

Leading manufacturer and supplier of high-tech material surface treatment solutions, as an expert in powder solutions.

Help you achieve excellent precision and superior results in your projects.","Chemical Manufacturing","11-50 employees","Privately Held","Irvine, California","United States","norian.com","https://www.linkedin.com/company/norian-group-inc",,,,,
,"Goss Graphic Systems Inc","✅ Goss Graphic Systems","Goss Graphic Systems","Goss International supplies presses and finishing systems – including the most automated and productive web offset presses in the world – for magazine, newspaper, packaging, catalog, direct mail and other printing applications.","Chemical Manufacturing","51-200 employees",,"Westmont, Illinois","United States",,"https://www.linkedin.com/company/goss-graphic-systems-inc",,,,,
,"Diesel World","✅ Diesel World","Diesel World",,"Chemical Manufacturing","11-50 employees",,"Irvine, CA","United States","dieselworldmag.com","https://www.linkedin.com/company/diesel-world",,,,,
,"Clifton Adhesive, Inc.","✅ Clifton Adhesive","Clifton Adhesive",,"Chemical Manufacturing","11-50 employees",,"Wayne, New Jersey","United States","cliftonadhesive.com","https://www.linkedin.com/company/clifton-adhesive-inc-",,,,,
,"Lien Phat","✅ Lien Phat","Lien Phat",,"Chemical Manufacturing","11-50 employees",,"Rosemead, California","United States","lienphat.net","https://www.linkedin.com/company/lien-phat",,,,,
,"Induron Coatings, LLC","✅ Induron Coatings","Induron Coatings","Industrial coatings from Induron - the leader in high performance coatings. Our expert team will help you match your project to the perfect coating.","Chemical Manufacturing","11-50 employees",,"Birmingham, Alabama","United States","induron.com","https://www.linkedin.com/company/induron-coatings-llc",,,,,
,"WOODBINE PRODUCTS CO., INC","✅ WOODBINE PRODUCTS CO.","WOODBINE PRODUCTS CO.","Woodbine Products provides bulk hand soap, bulk hand sanitizer, industrial hand cleaners and private label soap products for the commercial market.","Chemical Manufacturing","11-50 employees",,"Medina, Ohio","United States","woodbineproducts.com","https://www.linkedin.com/company/woodbine-products-co.-inc",,,,,
,"Best Foam Fabricators, Inc.","✅ Best Foam Fabricators","Best Foam Fabricators",,"Chemical Manufacturing","11-50 employees",,"Chicago, Illinois","United States","bff.com","https://www.linkedin.com/company/best-foam-fabricators-inc.",,,,,
,"Alpha Plastics Solutions, Inc.","✅ Alpha Plastics Solutions","Alpha Plastics Solutions","Alpha Plastics Solutions is a Manufacturer of Thermoplastic Components.","Chemical Manufacturing","11-50 employees",,"Muskego, Wisconsin","United States","myapsi.com","https://www.linkedin.com/company/alpha-plastics-solutions-inc.",,,,,
,"Dynamic Plumbing","✅ Dynamic Plumbing","Dynamic Plumbing",,"Chemical Manufacturing","11-50 employees",,"Austin, Texas","United States",,"https://www.linkedin.com/company/dynamic-plumbing",,,,,
,"T&K TOKA U.S.A., Inc.","✅ T&K TOKA U.S.A.","T&K TOKA U.S.A.","T&K TOKA USA is a provider of the finest printing ink for energy curable printing ink such as UV ink, LED-UV ink as well as an oil-based conventional ink. We provide you a highest efficiency on printing process.","Chemical Manufacturing","11-50 employees","Privately Held","Itasca, Illinois","United States","toka-global.com","https://www.linkedin.com/company/tokausa",,,,,
,"Coatings Incorporated","✅ Coatings","Coatings",,"Chemical Manufacturing","11-50 employees",,"West Linn, OR","United States","coatingsinc.net","https://www.linkedin.com/company/coatings-incorporated",,,,,
,"Soliant LLC","✅ Soliant","Soliant",,"Chemical Manufacturing","11-50 employees",,"Lancaster, SC","United States","paintfilm.com","https://www.linkedin.com/company/soliant-llc",,,,,
,"Simula Automotive Safety Devic","✅ Simula Automotive Safety Devic","Simula Automotive Safety Devic",,"Chemical Manufacturing","11-50 employees",,"Tempe, Arizona","United States",,"https://www.linkedin.com/company/simula-automotive-safety-devic",,,,,
,"Glidden Company","✅ Glidden","Glidden","When it comes to finding the right paint or color for your painting project, Glidden is there for you! Offering amazing paint colors and multiple sheens, Glidden.Com is the right choice!","Chemical Manufacturing","11-50 employees",,"Round Rock, Texas","United States",,"https://www.linkedin.com/company/glidden-company",,,,,
,"BICT SRL","✅ BICT SRL","BICT SRL","PRODUZIONE DI MOLECOLE DI NATURA BIOLIGICA:PRODUZIONE E VENDITA DI BENI OTTENUTI DA FONTI DI NATURA VEGETALE E ANIMALE.","Chemical Manufacturing","11-50 employees",,"LODI, Lo","United States",,"https://www.linkedin.com/company/bict-srl",,,,,
,"Master Silicon Carbide Industries Inc","✅ Master Silicon Carbide Industries","Master Silicon Carbide Industries","Master Silicon Carbide Industries, Inc. through its indirectly wholly owned operating subsidiary Yili Master Carborundum Production Co., Ltd. (Yili China), the Company manufactures and sells in China high quality green silicon carbide and some lower-quality black silicon carbide (together, hereinafter referred to as SiC ), a non-metallic compound that is used in industries, such as semiconductors, solar energy, ceramics, abrasives and optoelectronics. Yili China owns and operates three SiC production lines with transformer capacity of 80,000 kilovolt-amperes input and 110 kilovolt output with corollary established production equipment and infrastructure at Yining County, Kazak Autonomous Prefecture, Xinjiang Uygur Autonomous Region of the in the People’s Republic of China. On July 14, 2011, Beijing Master Consulting Co., Ltd. (Master Consulting) was incorporated in the People’s Republic of China, which was wholly owned by the Company.","Chemical Manufacturing","51-200 employees",,"Lakeville, Connecticut","United States",,"https://www.linkedin.com/company/master-silicon-carbide-industries-inc",,,,,
,"New Brook International","✅ New Brook International","New Brook International","New Brook International is a manufacturer of high performance pigments. We are also an importer and distributor of other pigments, fillers and anti-corrosive pigments with warehousing throughout the US.","Chemical Manufacturing","11-50 employees","Privately Held","Wyckoff","United States","newbrookintl.com","https://www.linkedin.com/company/new-brook-international",,,,,
,"Xtermco Inc","✅ Xtermco","Xtermco",,"Chemical Manufacturing","11-50 employees",,"Honolulu, Hawaii","United States","xtermco.com","https://www.linkedin.com/company/xtermco-inc",,,,,
,"GILMORE LIQUID AIR COMPANY","✅ GILMORE LIQUID AIR","GILMORE LIQUID AIR",,"Chemical Manufacturing","11-50 employees",,"South El Monte, California","United States","gilmoreliquidair.com","https://www.linkedin.com/company/gilmore-liquid-air-company",,,,,
,"Midwest Chemical","✅ Midwest Chemical","Midwest Chemical",,"Chemical Manufacturing","11-50 employees",,"Fort Wayne, IN","United States","midwestchemicals.com","https://www.linkedin.com/company/midwest-chemical",,,,,
,"Continental Maintenance","✅ Continental Maintenance","Continental Maintenance",,"Chemical Manufacturing","11-50 employees",,"Fenton, Michigan","United States",,"https://www.linkedin.com/company/continental-maintenance",,,,,
,"Schmit Laboratories Inc","✅ Schmit Laboratories","Schmit Laboratories",,"Chemical Manufacturing","11-50 employees",,"Chicago, Illinois","United States","schmitlabs.com","https://www.linkedin.com/company/schmit-laboratories-inc",,,,,
,"Peace of Soap Company","✅ Peace of Soap","Peace of Soap",,"Chemical Manufacturing","11-50 employees",,"Hillsboro, Oregon","United States",,"https://www.linkedin.com/company/peace-of-soap-company",,,,,
,"COORSTEK ARKANSAS OPERATIONS","✅ COORSTEK ARKANSAS OPERATIONS","COORSTEK ARKANSAS OPERATIONS",,"Chemical Manufacturing","11-50 employees",,"Golden, Colorado","United States",,"https://www.linkedin.com/company/coorstek-arkansas-operations",,,,,
,"Manufacturers Soap and Chemical Company","✅ Manufacturers Soap and Chemical","Manufacturers Soap and Chemical",,"Chemical Manufacturing","51-200 employees",,"Cleveland, Tennessee","United States",,"https://www.linkedin.com/company/manufacturers-soap-and-chemical-company",,,,,
,"INTREPID COATINGS","✅ INTREPID COATINGS","INTREPID COATINGS",,"Chemical Manufacturing","11-50 employees",,"PHOENIX, Arizona","United States","intrepidcoatings.com","https://www.linkedin.com/company/intrepid-coatings",,,,,
,"Miller Chemical Co","✅ Miller Chemical","Miller Chemical",,"Chemical Manufacturing","11-50 employees",,"Gardena, California","United States","millerchemical.com","https://www.linkedin.com/company/miller-chemical-co",,,,,
,"Oasis Plumbing","✅ Oasis Plumbing","Oasis Plumbing",,"Chemical Manufacturing","11-50 employees",,"Temecula, CA","United States","oasisplumbing.com","https://www.linkedin.com/company/oasis-plumbing",,,,,
,"Pool Chlor Of Nevada Inc","✅ Pool Chlor Of Nevada","Pool Chlor Of Nevada",,"Chemical Manufacturing","11-50 employees",,"Las Vegas, Nevada","United States","poolchlor.com","https://www.linkedin.com/company/pool-chlor-of-nevada-inc",,,,,
,"INNUVOTECH","✅ INNUVOTECH","INNUVOTECH","Innovation for a World at Risk....
INNUVOTECH is a world-wide leader in the research and development of innovative antimicrobial technologies which combines disinfection with protection into any surface or product, making them free from all types of pathogens including viruses and bacteria.

INNUVOTECH offers the world’s first EPA approved, water-based disinfectant and micro-biostatic agent that is effective against highly pathogenic viruses, bacteria, mold, mildew, and fungus.","Chemical Manufacturing","11-50 employees","Privately Held","Alpharetta, Georgia","United States","innuvotech.com","https://www.linkedin.com/company/innuvotech-llc",,,,,
,"JLM Marketing Inc.","✅ JLM Marketing","JLM Marketing",,"Chemical Manufacturing","11-50 employees",,"Tampa, Florida","United States","lookchem.com","https://www.linkedin.com/company/jlm-marketing-inc-",,,,,
,"Druid Hills Youth Sports","✅ Druid Hills Youth Sports","Druid Hills Youth Sports",,"Chemical Manufacturing","11-50 employees",,"Decatur, Georgia","United States",,"https://www.linkedin.com/company/druid-hills-youth-sports",,,,,
,"UNICEP PACKAGIN, INC.","✅ UNICEP PACKAGIN","UNICEP PACKAGIN",,"Chemical Manufacturing","51-200 employees",,"Sandpoint, Idaho","United States",,"https://www.linkedin.com/company/unicep-packagin-inc.",,,,,
,"Luca Chem","✅ Luca Chem","Luca Chem","We develop greatness! Driven by imagination and chemical creativity","Chemical Manufacturing","11-50 employees","Privately Held","Garden Grove, Luca Chem","United States","lucachem.com","https://www.linkedin.com/company/lucachem",,,,,
,"Laporte Fine Chemicals","✅ Laporte Fine Chemicals","Laporte Fine Chemicals",,"Chemical Manufacturing","11-50 employees",,"Bridgewater, New Jersey","United States",,"https://www.linkedin.com/company/laporte-fine-chemicals",,,,,
,"Harwick Chemical Corp","✅ Harwick Chemical","Harwick Chemical",,"Chemical Manufacturing","11-50 employees",,"Pico Rivera, California","United States",,"https://www.linkedin.com/company/harwick-chemical-corp",,,,,
,"Foam Enterprises Inc","✅ Foam Enterprises","Foam Enterprises",,"Chemical Manufacturing","11-50 employees",,"Minneapolis, Minnesota","United States",,"https://www.linkedin.com/company/foam-enterprises-inc",,,,,
,"Hero Glue","✅ Hero Glue","Hero Glue","Home of the legendary and absolutely the best cyanoacrylate (CA) instant glue on the market.","Chemical Manufacturing","11-50 employees","Partnership","Las Vegas, Nevada","United States","heroglue.com","https://www.linkedin.com/company/heroglue",,,,,
,"General Chemical Group Inc","✅ General Chemical Group","General Chemical Group","The General Chemical Group Inc. (GCG) is a producer of soda ash and calcium chloride in North America. The Company's products are soda ash, which is an essential raw material in glass, soap, powdered detergent, paper, textiles, food and other familiar consumer products, and calcium chloride is used for dust control and roadbed stabilization during the summer, deicing roads in winter, and in completion fluids for oil recovery and other industrial applications. The General Chemical Green River facility is located on the mile-high prairies of southwestern Wyoming, home to the world's largest reserves of trona ore.","Chemical Manufacturing","501-1,000 employees",,"Parsippany, New Jersey","United States",,"https://www.linkedin.com/company/general-chemical-group-inc",,,,,
,"UNIVERSAL CHEMICALS AND COATINGS, INC.","✅ UNIVERSAL CHEMICALS AND COATINGS","UNIVERSAL CHEMICALS AND COATINGS","Over 4 decades of innovation in the industrial paints and coatings industry.","Chemical Manufacturing","11-50 employees",,"Elgin, Illinois","United States","unicheminc.com","https://www.linkedin.com/company/universal-chemicals-and-coatings-inc.",,,,,
,"Harris Water Conditioning","✅ Harris Water Conditioning","Harris Water Conditioning",,"Chemical Manufacturing","11-50 employees",,"Huntington, Indiana","United States","harriswaterco.com","https://www.linkedin.com/company/harris-water-conditioning",,,,,
,"Medical Alert by Connect America","✅ Medical Alert by Connect America","Medical Alert by Connect America","Systems starting at $19.95/mo.! Feel safe and secure with round-the-clock monitoring from Medical Alert, the nation’s largest independent provider of personal emergency response systems. With the Medical Alert system, a simple button can be worn anywhere - even in the shower. If emergency help is needed (medical, fire, or police), push the button and a certified operator will respond immediately.","Chemical Manufacturing","11-50 employees",,"Broomall, Pennsylvania","United States","medicalalert.com","https://www.linkedin.com/company/medical-alert-by-connect-america",,,,,
,"Anderson Tool and Die","✅ Anderson Tool and Die","Anderson Tool and Die",,"Chemical Manufacturing","11-50 employees",,"Dallas, Texas","United States",,"https://www.linkedin.com/company/anderson-tool-and-die",,,,,
,"Arora Technologies Inc","✅ Arora Technologies","Arora Technologies",,"Chemical Manufacturing","11-50 employees",,"Huntsville, Alabama","United States","aroratech.com","https://www.linkedin.com/company/arora-technologies-inc",,,,,
,"ARCTIC SILVER, INC","✅ ARCTIC SILVER","ARCTIC SILVER",,"Chemical Manufacturing","11-50 employees",,"Visalia, California","United States",,"https://www.linkedin.com/company/arctic-silver-inc",,,,,
,"Hercules Aqualon Div","✅ Hercules Aqualon Div","Hercules Aqualon Div",,"Chemical Manufacturing","11-50 employees",,"Mendota Heights, MN","United States","ashland.com","https://www.linkedin.com/company/hercules-aqualon-div",,,,,
,"M & G Polymers USA, LLC","✅ M & G Polymers USA","M & G Polymers USA",,"Chemical Manufacturing","501-1,000 employees",,"Apple Grove, West Virginia","United States","gruppomgus.com","https://www.linkedin.com/company/m-&-g-polymers-usa-llc",,,,,
,"Caromex International, Inc.","✅ Caromex International","Caromex International",,"Chemical Manufacturing","11-50 employees",,"Fort Mill, South Carolina","United States",,"https://www.linkedin.com/company/caromex-international-inc-",,,,,
,"DW Davies & Co. Inc.","✅ DW Davies & Co.","DW Davies & Co.","D.W. Davies & Co. was founded by David W. Davies in 1951, operated as a proprietorship until 1956, then incorporated as D.W. Davies & Co.,Inc. 
The purchase of  various companies throughout the years has made the Davies Company a highly diversified company, which has indeed a great marketing advantage over single-line companies. It also has given our company a great continuing growth pattern. We now have a strong marketing base in the floor finish and cleaning areas. The industrial products, such as grinding compounds, cutting oils, metal cleaners, etc.  gives us a strong base in the industrial area. We also now have a very strong marketing base in automotive chemicals, such as car washing detergents, vinyl cleaners and dressings, auto polishes, etc. We also have an excellent marketing base in the swim pool line.
   Our technical people also have their specialty in various lines. The Davies Co. is a strong believer in “top quality” products with “top quality” technical field service. We have our own aircraft which enables us to render technical service for our customers in a hurry, if needed. All of our salesmen are not necessarily chemists, so we have chemist services available to them by telephone, internet, fax or in person, even if we need to fly to you to see on-site problems or questions.
DW Davies is a veteran-owned company that offers products for a wide range of industries, and has a factory outlet store for locals.","Chemical Manufacturing","11-50 employees",,"Racine, WI","United States",,"https://www.linkedin.com/company/dw-davies-co-inc",,,,,
,"MICOR COMPANY INC","✅ MICOR COMPANY","MICOR COMPANY",,"Chemical Manufacturing","11-50 employees",,"NAPLES, Florida","United States","micorco.com","https://www.linkedin.com/company/micor-company-inc",,,,,
,"Splash Pool Care","✅ Splash Pool Care","Splash Pool Care",,"Chemical Manufacturing","11-50 employees",,"Roseville, CA","United States","splashpoolcare.org","https://www.linkedin.com/company/splash-pool-care",,,,,
,"Polymate Corp.","✅ Polymate Corp.","Polymate Corp.",,"Chemical Manufacturing","11-50 employees",,"Healdton, Oklahoma","United States","polymatecorp.com","https://www.linkedin.com/company/polymate-corp-",,,,,
,"Component Technologies","✅ Component","Component",,"Chemical Manufacturing","11-50 employees",,"Tacoma, Washington","United States","componenttechnologiesinc.com","https://www.linkedin.com/company/component-technologies",,,,,
,"SURTECO USA","✅ SURTECO USA","SURTECO USA","Canplast is your trusted Premium Edgebanding and Hotmelt Adhesive Leader for the woodworking industry in North America. Locate your local distributor now!","Chemical Manufacturing","51-200 employees",,"Greensboro, North Carolina","United States","canplast.com","https://www.linkedin.com/company/surteco-usa",,,,,
,"Silbond Corp","✅ Silbond","Silbond",,"Chemical Manufacturing","11-50 employees",,"Harbor Springs, Michigan","United States","silbond.com","https://www.linkedin.com/company/silbond-corp",,,,,
,"SoapTastic Lush Soap Company","✅ SoapTastic Lush Soap","SoapTastic Lush Soap","Soaptastik Soap Company Welcome to Soaptastik, the soap company that's focused on providing high-quality service and customer satisfaction. I offer a wide variety of all natural, moisturizing soaps, body scrubs, bath salts, after-bath powder, lotion, bath bombs, lip balm, laundry detergent, and more! My top priority","Chemical Manufacturing","11-50 employees",,"Fall River, Massachusetts","United States","soaptasticlush.com","https://www.linkedin.com/company/soaptastic-lush-soap-company",,,,,
,"Flame USA Inc","✅ Flame USA","Flame USA","Manufacturing Capabilities:
Tablets, liquids, candies, soluble powders, shots, vape products, chewables, and gummies.
Specialized Extracts:
Kratom and its derivatives:
7-Hydroxymitragynine
Mitragynine
Pseudoindoxyl
MIT
Full Spectrum
Paynantheine
Other Botanicals:
Kanna
Kava
Hemp
Amanita
Blue Lotus
Wild Lettuce
Custom Blends: Tailored to client specifications.
Company Positioning
Flame USA is a trusted leader in Southern California, focusing on extract powders and customized product solutions to meet the diverse needs of businesses. The company emphasizes reliability and innovation, making it a standout choice in the industry.","Chemical Manufacturing","11-50 employees","Privately Held","Brea, California","United States","flameusa.com","https://www.linkedin.com/company/flame-usa-incorp",,,,,
,"A Division of Oklahoma Energy","✅ A Division of Oklahoma Energy","A Division of Oklahoma Energy","The Microbe Experts develops and manufacturers leading edge anti-microbial additives for industrial and consumer applications. Highly effective, the additives control the widest range of microbial contaminants. When added to the industry's only water-based urethane coatings and epoxies the result is a microbe resistant, environmentally friendly solution for a wide array of industries.","Chemical Manufacturing","11-50 employees","Public Company","New York, NY","United States","microbeexperts.com","https://www.linkedin.com/company/the-microbe-experts",,,,,
,"Colortrend USA LLC","✅ Colortrend USA","Colortrend USA",,"Chemical Manufacturing","11-50 employees",,"Piscataway Township, New Jersey","United States","amfibi.company","https://www.linkedin.com/company/colortrend-usa-llc",,,,,
,"Enviro Chem Inc","✅ Enviro Chem","Enviro Chem",,"Chemical Manufacturing","11-50 employees",,"Mobile, Alabama","United States","ecilabs.com","https://www.linkedin.com/company/enviro-chem-inc",,,,,
,"Ameron Corp","✅ Ameron","Ameron",,"Chemical Manufacturing","11-50 employees",,"New York, New York","United States",,"https://www.linkedin.com/company/ameron-corp",,,,,
,"Missouri Electrochem Inc","✅ Missouri Electrochem","Missouri Electrochem",,"Chemical Manufacturing","11-50 employees",,"St. Louis, Missouri","United States",,"https://www.linkedin.com/company/missouri-electrochem-inc",,,,,
,"Nicholas Energy Co","✅ Nicholas Energy","Nicholas Energy",,"Chemical Manufacturing","11-50 employees",,"Drennen, West Virginia","United States",,"https://www.linkedin.com/company/nicholas-energy-co",,,,,
,"Uno Media","✅ Uno Media","Uno Media",,"Chemical Manufacturing","11-50 employees",,"San Antonio, Texas","United States",,"https://www.linkedin.com/company/uno-media",,,,,
,"GVX Clean","✅ GVX Clean","GVX Clean","Wildly effective at removing stains and odors. Made with sustainably harvested, pharmaceutical-grade Australian tea tree oil. Safe for the environment.","Chemical Manufacturing","11-50 employees","Privately Held","Knoxville, Tennessee","United States","gvxpro.com","https://www.linkedin.com/company/gvx-clean",,,,,
,"Artemis Chemical","✅ Artemis Chemical","Artemis Chemical","We are a growing chemical manufacturing company focused on cleaning solutions for various industries.","Chemical Manufacturing","11-50 employees","Privately Held","Salt Lake City, Utah","United States","artemischemicals.com","https://www.linkedin.com/company/artemis-chemical",,,,,
,"Hygieia-San","✅ Hygieia-San","Hygieia-San","Hygieia-San markets hypochlorous eco-friendly high-performance disinfectants and machines to make your disinfectant in-situ. This reduces plastic use by 80%, reduces chemical costs by up to 90%, reduces the carbon footprint of a Company and helps the environment.","Chemical Manufacturing","11-50 employees","Public Company","Taunton","United States","hygieia-san.com","https://www.linkedin.com/company/hygieiasan",,,,,
,"Green Earth Supply","✅ Green Earth Supply","Green Earth Supply","At Green Earth Supply, we understand the importance of using environmentally friendly products and strive to use natural and water-soluble ingredients in all of our formulas. This allows us to provide a wide range of options for any application, ensuring that you have the perfect product for your specific needs.","Chemical Manufacturing","11-50 employees","Privately Held","Plantation, FL","United States","greenearthsupply.net","https://www.linkedin.com/company/green-earth-supply",,,,,
,"Mapco Engineering","✅ Mapco Engineering","Mapco Engineering",,"Chemical Manufacturing","11-50 employees",,"Edmond, Oklahoma","United States","mapco.it","https://www.linkedin.com/company/mapco-engineering",,,,,
,"Protochem Laboratories","✅ Protochem Laboratories","Protochem Laboratories","Manufacturer, products are available through distributors including Zoro.com and other retailers throughout the country.","Chemical Manufacturing","11-50 employees","Privately Held","Cleveland","United States","protochemical.com","https://www.linkedin.com/company/protochem-lab",,,,,
,"Heavenscent Natural Soap Company","✅ Heavenscent Natural Soap","Heavenscent Natural Soap","Welcome to Heavenscent Natural Soap Company","Chemical Manufacturing","11-50 employees",,"Los Angeles, California","United States","heavenscentshea.com","https://www.linkedin.com/company/heavenscent-natural-soap-company",,,,,
,"RSI Silicon Products, LLC","✅ RSI Silicon Products","RSI Silicon Products",,"Chemical Manufacturing","11-50 employees",,"Easton, PA","United States","rsi-silicon.com","https://www.linkedin.com/company/rsi-silicon-products-llc",,,,,
,"Okinawa Kenpo Karate Academy","✅ Okinawa Kenpo Karate Academy","Okinawa Kenpo Karate Academy",,"Chemical Manufacturing","11-50 employees",,"Swedesboro, New Jersey","United States","jefferykenpo.com","https://www.linkedin.com/company/okinawa-kenpo-karate-academy",,,,,
,"Harcros Pigments","✅ Harcros Pigments","Harcros Pigments",,"Chemical Manufacturing","11-50 employees",,"East Saint Louis, IL","United States",,"https://www.linkedin.com/company/harcros-pigments",,,,,
,"ICM VENTURES, INC","✅ ICM VENTURES","ICM VENTURES",,"Chemical Manufacturing","501-1,000 employees",,"Colwich, Kansas","United States",,"https://www.linkedin.com/company/icm-ventures-inc",,,,,
,"Sensibility Soaps Inc","✅ Sensibility Soaps","Sensibility Soaps",,"Chemical Manufacturing","11-50 employees",,"Beaver Falls, Pennsylvania","United States",,"https://www.linkedin.com/company/sensibility-soaps-inc",,,,,
,"Saddlebrook Golf Course","✅ Saddlebrook Golf Course","Saddlebrook Golf Course",,"Chemical Manufacturing","11-50 employees",,"Orleans, Indiana","United States",,"https://www.linkedin.com/company/saddlebrook-golf-course",,,,,
,"Teijin Kasei America, Inc.","✅ Teijin Kasei America","Teijin Kasei America","Polycarbonate alloys and resin, such as Panlite, Multilon, are Teijin's focus.","Chemical Manufacturing","51-200 employees",,"Norcross, Georgia","United States","teijinkasei.com","https://www.linkedin.com/company/teijin-kasei-america-inc.",,,,,
,"Colonial Diversified Polymer Products, LLC","✅ Colonial Diversified Polymer Products","Colonial Diversified Polymer Products","Sponge Rubber Molding, Foam Rubber Extrusions, Custom Rubber Mixing - Colonial DPP provides those services and more in our ISO/TS16949 certified facility.","Chemical Manufacturing","51-200 employees",,"Dyersburg, Tennessee","United States","colonialdpp.com","https://www.linkedin.com/company/colonial-diversified-polymer-products-llc",,,,,
,"COOK COMPOSITES AND POLYMERS CO.","✅ COOK COMPOSITES AND POLYMERS","COOK COMPOSITES AND POLYMERS","Organic anhydrides and their derivatives | Polynt Group is the world leader in the production, sales and development of organic anhydrides and their derivatives.","Chemical Manufacturing","11-50 employees",,"Saukville, Wisconsin","United States","ccponline.com","https://www.linkedin.com/company/cook-composites-and-polymers-co.",,,,,
,"Ocean Thin Films, Inc.","✅ Ocean Thin Films","Ocean Thin Films","Spectral filters, sensors & imaging solutions","Chemical Manufacturing","11-50 employees",,"Largo, Florida","United States","oceanthinfilms.com","https://www.linkedin.com/company/ocean-thin-films-inc.",,,,,
,"TempTroll","✅ TempTroll","TempTroll","Manufacturer and World importer of personal hygiene/ physical therapy products with a newly added division specializing in new age modulated self heating and cooling technology.","Chemical Manufacturing","11-50 employees","Privately Held",,"United States","dawnmist.com","https://www.linkedin.com/company/temptroll",,,,,
,"Unearth Malee Organic Soaps","✅ Unearth Malee Organic Soaps","Unearth Malee Organic Soaps",,"Chemical Manufacturing","11-50 employees",,"Claremont, California","United States",,"https://www.linkedin.com/company/unearth-malee-organic-soaps",,,,,
